ValuationDate,SchemeName,ISIN,NAV,AUM_Cr
2025-11-05,Short Term Debt Fund,INF28921300,93.5539,1317.0
2025-11-23,Liquid Ultra Fund,INF92012501,579.4822,2303.47
2025-10-31,Arbitrage Edge Fund,INF88289102,953.7607,1643.28
2025-11-20,Arbitrage Edge Fund,INF36441603,1749.5516,749.07
2025-10-28,Dynamic Asset Allocator,INF38606104,1230.575,3372.05
2025-11-23,Liquid Ultra Fund,INF80691205,812.5303,1166.3
2025-11-05,Balanced Advantage Fund,INF12855606,1489.8643,1536.14
2025-10-28,Dynamic Asset Allocator,INF90045907,858.8424,2330.33
2025-10-21,Liquid Ultra Fund,INF12164008,615.4243,1631.12
2025-10-28,Liquid Ultra Fund,INF40842909,1767.7127,2033.79
2025-11-01,Arbitrage Edge Fund,INF10514200,106.2315,4262.27
2025-11-14,Dynamic Asset Allocator,INF67339401,1322.5958,2360.0
2025-11-06,Liquid Ultra Fund,INF65409002,1810.649,2763.84
2025-11-04,Arbitrage Edge Fund,INF80418403,412.1112,452.16
2025-10-26,Liquid Ultra Fund,INF92242704,688.6262,4280.03
2025-11-15,Liquid Ultra Fund,INF97684605,761.6127,4882.8
2025-11-15,Balanced Advantage Fund,INF67373606,84.929,4925.43
2025-10-31,Arbitrage Edge Fund,INF18639007,1828.5283,2502.16
2025-10-23,Short Term Debt Fund,INF46567008,1857.2731,1464.6
2025-11-12,Balanced Advantage Fund,INF63332009,1019.6432,1944.21
2025-10-24,Balanced Advantage Fund,INF67499300,1064.1555,4812.44
2025-11-06,Alpha Equity Fund - Regular,INF19547301,94.1133,1055.99
2025-11-18,Overnight Fund,INF48890902,709.9152,2615.78
2025-10-29,Overnight Fund,INF70655003,881.9457,2565.28
2025-10-24,Balanced Advantage Fund,INF64554204,1904.2992,2883.88
2025-10-31,Short Term Debt Fund,INF12959705,1481.5062,4969.61
2025-11-25,Balanced Advantage Fund,INF36591606,1877.8368,1178.63
2025-11-07,Short Term Debt Fund,INF52786407,1191.2437,1602.02
2025-11-26,Liquid Ultra Fund,INF19828708,553.0748,887.41
2025-11-13,Liquid Ultra Fund,INF94131009,765.5888,4922.06
2025-10-25,Overnight Fund,INF81142800,831.1699,2863.85
2025-11-21,Short Term Debt Fund,INF26515901,1623.9113,976.7
2025-11-21,Alpha Equity Fund - Regular,INF62807102,918.7288,1603.87
2025-11-09,Liquid Ultra Fund,INF51642903,1547.758,1959.74
2025-10-30,Balanced Advantage Fund,INF17343004,1040.1471,2726.04
2025-11-15,Arbitrage Edge Fund,INF59665305,1370.0789,1800.56
2025-10-28,Dynamic Asset Allocator,INF19787206,1511.0468,2002.82
2025-10-29,Short Term Debt Fund,INF44444407,29.483,2908.02
2025-11-09,Overnight Fund,INF60431708,1512.037,3146.16
2025-11-04,Short Term Debt Fund,INF55484609,835.1689,80.07
2025-11-25,Overnight Fund,INF40011600,1696.3653,3976.16
2025-11-22,Balanced Advantage Fund,INF18955101,1552.4278,3411.59
2025-11-10,Arbitrage Edge Fund,INF19835802,718.4976,837.21
2025-11-17,Arbitrage Edge Fund,INF51214003,532.1609,3092.78
2025-10-27,Alpha Equity Fund - Regular,INF77441404,821.8059,2082.14
2025-11-22,Arbitrage Edge Fund,INF73545405,947.305,3563.12
2025-11-12,Liquid Ultra Fund,INF62405606,771.0953,3261.47
2025-11-06,Balanced Advantage Fund,INF13192207,1989.9359,2511.86
2025-11-26,Alpha Equity Fund - Regular,INF52302008,921.1667,3772.53
2025-10-22,Arbitrage Edge Fund,INF81228809,391.023,3744.21
2025-10-28,Overnight Fund,INF45427200,167.6628,1992.01
2025-10-22,Overnight Fund,INF66380801,706.1024,1214.72
2025-11-14,Dynamic Asset Allocator,INF78580102,1404.6639,4966.85
2025-11-13,Arbitrage Edge Fund,INF42411203,1916.8781,383.43
2025-11-06,Short Term Debt Fund,INF49154604,1020.7836,4757.19
2025-11-17,Overnight Fund,INF41814205,1226.6691,494.89
2025-11-25,Liquid Ultra Fund,INF71154206,31.7311,4812.38
2025-11-21,Overnight Fund,INF69027907,1818.4571,4287.98
2025-11-08,Balanced Advantage Fund,INF42688208,928.9301,2025.25
2025-11-14,Short Term Debt Fund,INF59850309,1299.1816,4114.3
2025-11-09,Liquid Ultra Fund,INF18345800,1246.9889,2227.51
2025-10-24,Alpha Equity Fund - Regular,INF77800401,1651.0988,3678.85
2025-11-04,Overnight Fund,INF70263002,566.9606,4139.5
2025-11-09,Overnight Fund,INF83307103,692.8548,4413.43
2025-11-17,Balanced Advantage Fund,INF10434104,1887.2765,1220.94
2025-10-23,Short Term Debt Fund,INF19462305,1040.7257,3539.11
2025-11-11,Arbitrage Edge Fund,INF18953506,1936.9756,3568.6
2025-10-25,Balanced Advantage Fund,INF98354007,567.8081,2705.21
2025-11-10,Overnight Fund,INF67590308,689.6412,4366.99
2025-11-06,Dynamic Asset Allocator,INF73606309,1109.3577,4082.83
2025-10-27,Dynamic Asset Allocator,INF78221900,11.4729,172.14
2025-11-23,Liquid Ultra Fund,INF97097601,1279.9125,2249.73
2025-10-25,Dynamic Asset Allocator,INF47738902,55494.1489,587.03
2025-10-22,Overnight Fund,INF39715303,558.7877,2578.64
2025-11-12,Alpha Equity Fund - Regular,INF84431904,755.3297,4345.52
2025-11-12,Dynamic Asset Allocator,INF25011305,215.3439,3810.0
2025-10-28,Arbitrage Edge Fund,INF47018706,1343.6049,4221.28
2025-11-13,Dynamic Asset Allocator,INF81532507,270.792,806.88
2025-11-25,Short Term Debt Fund,INF68084308,422.4453,1867.4
2025-10-30,Alpha Equity Fund - Regular,INF72023909,149.589,1790.54
2025-10-28,Liquid Ultra Fund,INF44018400,302.6106,3336.66
2025-10-22,Liquid Ultra Fund,INF45988801,150.486,844.44
2025-11-24,Arbitrage Edge Fund,INF11026702,1430.3002,3592.46
2025-10-26,Liquid Ultra Fund,INF44248603,1140.548,4392.03
2025-11-10,Arbitrage Edge Fund,INF17596804,1430.8668,2978.59
2025-11-13,Dynamic Asset Allocator,INF14566805,1930.6436,3836.71
2025-11-23,Arbitrage Edge Fund,INF69521306,1865.3241,4434.24
2025-10-28,Dynamic Asset Allocator,INF39465507,243.8382,3200.39
2025-11-09,Short Term Debt Fund,INF72541708,1348.9558,397.83
2025-11-01,Arbitrage Edge Fund,INF40457109,772.8599,4076.64
2025-11-04,Short Term Debt Fund,INF29975000,847.9913,4826.68
2025-10-31,Balanced Advantage Fund,INF94906901,1616.1832,2552.07
2025-11-17,Alpha Equity Fund - Regular,INF57567502,1486.115,2244.72
2025-11-18,Dynamic Asset Allocator,INF40578803,1383.4025,4505.55
2025-11-07,Dynamic Asset Allocator,INF78456604,1831.9393,2600.69
2025-11-04,Arbitrage Edge Fund,INF21034005,1347.5449,1025.81
2025-10-25,Dynamic Asset Allocator,INF13573906,1563.5281,2979.95
2025-11-17,Dynamic Asset Allocator,INF50715707,1214.1081,232.83
2025-11-23,Dynamic Asset Allocator,INF54495908,31757.217,3917.16
2025-10-31,Liquid Ultra Fund,INF25964809,255.9707,3119.05
2025-11-16,Balanced Advantage Fund,INF12409900,1683.5331,4945.11
2025-10-21,Dynamic Asset Allocator,INF15210601,1434.4476,1739.81
2025-10-22,Dynamic Asset Allocator,INF44739802,1264.1256,2838.61
2025-10-25,Alpha Equity Fund - Regular,INF55856603,1612.7259,1797.4
2025-11-07,Short Term Debt Fund,INF55283404,1629.7499,1068.3
2025-10-29,Liquid Ultra Fund,INF85058205,1429.3199,4546.43
2025-11-17,Balanced Advantage Fund,INF23359806,1845.4141,385.78
2025-10-26,Overnight Fund,INF70375607,1490.5963,760.71
2025-11-12,Balanced Advantage Fund,INF84639908,797.3262,383.32
2025-10-31,Balanced Advantage Fund,INF31168309,1574.9227,3008.42
2025-11-02,Dynamic Asset Allocator,INF74090700,1225.0686,1597.83
2025-11-01,Arbitrage Edge Fund,INF81085501,335.0139,4870.04
2025-11-01,Alpha Equity Fund - Regular,INF60471302,574.8159,1050.12
2025-11-17,Overnight Fund,INF34952703,42690.2418,3132.88
2025-11-17,Balanced Advantage Fund,INF87779304,793.811,897.61
2025-11-11,Short Term Debt Fund,INF30811005,1253.6452,993.77
2025-11-23,Alpha Equity Fund - Regular,INF13256806,846.3752,1878.84
2025-11-26,Short Term Debt Fund,INF41418707,591.6921,3505.91
2025-11-24,Alpha Equity Fund - Regular,INF36543508,1335.9335,1476.57
2025-11-23,Short Term Debt Fund,INF79236309,1422.5924,822.92
2025-10-27,Alpha Equity Fund - Regular,INF34890500,754.2722,1032.93
2025-11-21,Short Term Debt Fund,INF58258201,665.8155,1367.81
2025-11-01,Alpha Equity Fund - Regular,INF11988802,1503.9494,4936.6
2025-11-07,Dynamic Asset Allocator,INF51721903,335.2961,3246.54
2025-10-25,Balanced Advantage Fund,INF61908904,975.9799,1739.02
2025-10-27,Arbitrage Edge Fund,INF34699805,1115.3081,429.82
2025-10-24,Dynamic Asset Allocator,INF89290506,1875.5793,3293.09
2025-11-14,Overnight Fund,INF32259507,1976.1245,1122.65
2025-11-03,Alpha Equity Fund - Regular,INF95921308,1041.9365,4957.38
2025-10-28,Alpha Equity Fund - Regular,INF44434409,500.7304,4267.01
2025-11-04,Liquid Ultra Fund,INF18606000,166.4156,276.12
2025-10-21,Liquid Ultra Fund,INF13808501,1467.1661,1954.42
2025-11-10,Balanced Advantage Fund,INF27493202,23.4008,2360.82
2025-11-08,Dynamic Asset Allocator,INF33503803,272.936,846.63
2025-11-18,Short Term Debt Fund,INF20705504,857.7878,4258.41
2025-11-14,Balanced Advantage Fund,INF88177405,822.7537,1863.32
2025-11-22,Arbitrage Edge Fund,INF63455806,869.3703,4344.75
2025-11-04,Liquid Ultra Fund,INF60088307,446.3491,3667.5
2025-11-16,Liquid Ultra Fund,INF47525408,463.2364,4257.62
2025-10-31,Dynamic Asset Allocator,INF97196409,467.3588,2308.02
2025-11-26,Short Term Debt Fund,INF18130800,1312.2724,3900.82
2025-11-13,Liquid Ultra Fund,INF39854201,200.3274,605.36
2025-11-06,Arbitrage Edge Fund,INF77089402,1018.4901,2937.78
2025-10-25,Dynamic Asset Allocator,INF38251703,1593.6672,1972.44
2025-11-12,Alpha Equity Fund - Regular,INF23108304,657.903,874.55
2025-11-03,Dynamic Asset Allocator,INF75053405,1605.1729,2450.43
2025-11-07,Balanced Advantage Fund,INF27741706,860.3514,2897.03
2025-10-31,Short Term Debt Fund,INF61611507,111.6327,1944.38
2025-11-18,Arbitrage Edge Fund,INF46135908,1170.912,3745.84
2025-11-19,Balanced Advantage Fund,INF73504009,252.7365,2755.2
2025-11-15,Overnight Fund,INF18108300,623.5412,541.7
2025-11-20,Alpha Equity Fund - Regular,INF14645701,288.5516,422.61
2025-11-24,Alpha Equity Fund - Regular,INF28667902,739.5205,4974.96
2025-11-03,Overnight Fund,INF19499103,697.1407,1682.95
2025-11-18,Dynamic Asset Allocator,INF83179904,695.7596,3404.94
2025-10-29,Alpha Equity Fund - Regular,INF94766505,1608.1398,1716.47
2025-10-22,Alpha Equity Fund - Regular,INF83692506,1123.6877,2863.64
2025-11-15,Arbitrage Edge Fund,INF74603407,1661.4278,363.1
2025-10-25,Dynamic Asset Allocator,INF59235908,916.3555,4595.02
2025-10-25,Short Term Debt Fund,INF51768309,1709.2666,2623.28
2025-11-24,Alpha Equity Fund - Regular,INF66670100,1781.3167,1560.48
2025-10-27,Short Term Debt Fund,INF23991101,1073.1033,4821.8
2025-10-22,Liquid Ultra Fund,INF19161802,404.0238,2415.68
2025-11-09,Balanced Advantage Fund,INF31514803,31575.901,900.64
2025-11-08,Overnight Fund,INF69986404,370.099,92.87
2025-11-16,Overnight Fund,INF16747605,1888.7865,1269.81
2025-10-25,Arbitrage Edge Fund,INF50756606,69.8812,643.64
2025-11-04,Overnight Fund,INF86930707,1224.6103,205.34
2025-11-24,Alpha Equity Fund - Regular,INF67708608,755.4476,918.86
2025-10-28,Liquid Ultra Fund,INF49825709,78.4795,3106.91
2025-11-20,Dynamic Asset Allocator,INF61028600,340.6501,263.75
2025-10-30,Short Term Debt Fund,INF38692901,1429.607,3853.14
2025-11-17,Overnight Fund,INF96085602,1818.9322,1609.53
2025-11-24,Balanced Advantage Fund,INF85185803,1165.2466,3129.68
2025-10-27,Short Term Debt Fund,INF96914404,244.1907,1455.79
2025-11-24,Liquid Ultra Fund,INF83036205,1926.3996,413.75
2025-11-07,Arbitrage Edge Fund,INF40931206,1330.9209,4926.69
2025-10-28,Balanced Advantage Fund,INF72851307,228.3032,2309.44
2025-11-01,Arbitrage Edge Fund,INF12062908,926.2857,4230.58
2025-10-23,Overnight Fund,INF46519709,127.915,3825.06
2025-11-02,Balanced Advantage Fund,INF35397100,531.2277,2103.77
2025-11-21,Balanced Advantage Fund,INF89579201,200.4582,3048.45
2025-11-12,Alpha Equity Fund - Regular,INF37587202,1425.5397,2389.5
2025-11-02,Overnight Fund,INF63774703,781.4445,703.28
2025-10-21,Overnight Fund,INF37824404,550.4761,2456.7
2025-11-07,Dynamic Asset Allocator,INF36656805,778.1463,4703.35
2025-10-30,Overnight Fund,INF32016006,45.4251,395.05
2025-11-21,Balanced Advantage Fund,INF48660607,1480.2918,792.52
2025-11-05,Arbitrage Edge Fund,INF43191608,278.5135,1221.89
2025-10-29,Overnight Fund,INF35257009,121.0069,1749.41
2025-11-18,Overnight Fund,INF32203700,217.1755,3136.43
2025-11-10,Arbitrage Edge Fund,INF97560501,1702.4749,4199.42
2025-11-07,Balanced Advantage Fund,INF98288502,1001.3852,1988.42
2025-11-13,Overnight Fund,INF90179303,1075.3151,3030.52
2025-10-28,Overnight Fund,INF73772104,1298.2336,1254.25
2025-11-17,Overnight Fund,INF79022405,33914.4673,2940.26
2025-11-17,Balanced Advantage Fund,INF13941106,789.8771,3231.69
2025-11-22,Balanced Advantage Fund,INF63500407,1880.2682,874.29
2025-10-27,Liquid Ultra Fund,INF43780108,1389.3525,2649.19
2025-11-10,Overnight Fund,INF56519809,35384.9836,789.2
2025-11-14,Short Term Debt Fund,INF75856200,1496.0758,4841.79
2025-11-22,Dynamic Asset Allocator,INF91061801,1562.5368,2590.66
2025-11-06,Alpha Equity Fund - Regular,INF19407302,1611.1974,4255.81
2025-10-30,Overnight Fund,INF26879403,1050.2857,4280.36
2025-10-22,Overnight Fund,INF22614404,1287.7105,1743.97
2025-11-23,Alpha Equity Fund - Regular,INF27246405,427.4524,2179.39
2025-10-28,Short Term Debt Fund,INF92030706,363.4687,370.82
2025-11-25,Arbitrage Edge Fund,INF28535507,114.9837,1844.29
2025-11-09,Liquid Ultra Fund,INF38099708,1738.3057,429.52
2025-10-23,Dynamic Asset Allocator,INF26929009,1192.2191,1779.03
2025-10-26,Liquid Ultra Fund,INF40017700,1628.5317,3646.06
2025-11-04,Liquid Ultra Fund,INF78383201,1337.7993,1930.18
2025-10-23,Liquid Ultra Fund,INF87486202,121.3686,4800.45
2025-11-10,Alpha Equity Fund - Regular,INF85754203,864.0789,3563.41
2025-11-07,Arbitrage Edge Fund,INF77495604,1815.8904,4916.41
2025-11-15,Short Term Debt Fund,INF95663805,188.7961,3505.92
2025-11-02,Short Term Debt Fund,INF96080106,626.9224,402.72
2025-11-04,Overnight Fund,INF57004207,1104.4253,4859.43
2025-10-31,Arbitrage Edge Fund,INF25284208,514.1244,560.04
2025-10-26,Short Term Debt Fund,INF13889109,1601.449,4167.6
2025-11-14,Dynamic Asset Allocator,INF83217300,1862.5335,3970.94
2025-10-29,Arbitrage Edge Fund,INF32235601,954.7293,281.94
2025-11-13,Balanced Advantage Fund,INF55635102,16.5401,4218.12
2025-11-08,Arbitrage Edge Fund,INF48195403,1910.7658,3398.13
2025-11-18,Overnight Fund,INF28772404,1528.6791,3370.89
2025-10-25,Dynamic Asset Allocator,INF57146805,170.1269,2258.77
2025-11-24,Dynamic Asset Allocator,INF35410706,920.9,4905.38
2025-11-01,Alpha Equity Fund - Regular,INF32486007,377.0217,448.02
2025-11-03,Liquid Ultra Fund,INF31727008,1633.6681,2691.9
2025-11-24,Liquid Ultra Fund,INF51410409,825.2253,704.57
2025-10-26,Overnight Fund,INF78888900,1499.8331,4632.03
2025-11-09,Balanced Advantage Fund,INF58765801,1281.1162,1991.23
2025-11-01,Arbitrage Edge Fund,INF61244902,1394.6547,900.72
2025-10-26,Arbitrage Edge Fund,INF23468503,478.3682,1040.75
2025-11-14,Dynamic Asset Allocator,INF19496504,729.8742,3384.38
2025-11-17,Overnight Fund,INF59083305,659.2832,66.88
2025-11-26,Balanced Advantage Fund,INF20219506,1138.889,1061.05
2025-11-02,Overnight Fund,INF60922807,452.482,4787.61
2025-11-02,Liquid Ultra Fund,INF49556308,1116.3432,1689.49
2025-11-20,Balanced Advantage Fund,INF66995809,1269.4818,3341.73
2025-10-22,Balanced Advantage Fund,INF51807100,1745.3202,1833.13
2025-10-27,Dynamic Asset Allocator,INF98261201,839.3916,4453.88
2025-11-19,Dynamic Asset Allocator,INF36417202,1543.8555,417.07
2025-11-05,Dynamic Asset Allocator,INF28565503,1089.5741,4487.05
2025-10-25,Overnight Fund,INF33497304,414.5878,3035.22
2025-11-11,Arbitrage Edge Fund,INF12625605,838.2977,3243.65
2025-11-09,Dynamic Asset Allocator,INF20201606,395.6208,1498.0
2025-10-24,Balanced Advantage Fund,INF66677807,33.6247,3729.8
2025-11-25,Alpha Equity Fund - Regular,INF95606008,387.2983,4365.3
2025-11-10,Liquid Ultra Fund,INF69555309,1437.6337,658.04
2025-11-16,Dynamic Asset Allocator,INF17576400,1853.2978,289.08
2025-11-08,Alpha Equity Fund - Regular,INF29013101,1731.8097,93.64
2025-11-11,Overnight Fund,INF48973502,1780.462,4985.28
2025-10-28,Overnight Fund,INF58919903,1436.1988,3062.72
2025-11-15,Dynamic Asset Allocator,INF49808904,1767.9417,2449.99
2025-11-25,Liquid Ultra Fund,INF21414405,691.8302,1402.61
2025-11-21,Overnight Fund,INF66013406,1750.8772,316.48
2025-11-02,Arbitrage Edge Fund,INF26118407,621.4083,4156.06
2025-10-28,Dynamic Asset Allocator,INF17647708,1159.3603,4924.66
2025-11-25,Short Term Debt Fund,INF58159609,1429.7157,484.52
2025-10-24,Arbitrage Edge Fund,INF70726000,688.1806,3091.35
2025-11-01,Short Term Debt Fund,INF39448401,184.764,3826.78
2025-11-20,Balanced Advantage Fund,INF10213602,1333.1059,2610.42
2025-11-12,Liquid Ultra Fund,INF12411203,1374.0932,4025.64
2025-11-22,Balanced Advantage Fund,INF96447304,111.9766,2586.37
2025-11-17,Liquid Ultra Fund,INF50837705,918.3432,1297.78
2025-11-18,Balanced Advantage Fund,INF36302006,340.2727,328.34
2025-10-30,Balanced Advantage Fund,INF51197607,1312.2343,1808.35
2025-11-15,Short Term Debt Fund,INF64791808,1892.2777,1486.2
2025-11-23,Overnight Fund,INF88517809,976.6881,4779.76
2025-10-30,Dynamic Asset Allocator,INF62265300,751.4521,991.24
2025-10-30,Balanced Advantage Fund,INF97005701,1510.7016,4632.83
2025-11-21,Arbitrage Edge Fund,INF29386002,344.4772,2142.06
2025-10-31,Alpha Equity Fund - Regular,INF52005203,364.9004,2146.44
2025-11-18,Overnight Fund,INF75976904,1895.9959,1719.79
2025-11-22,Balanced Advantage Fund,INF94410805,1737.5111,4173.72
2025-11-26,Liquid Ultra Fund,INF33828306,906.1409,3727.33
2025-11-23,Alpha Equity Fund - Regular,INF29627007,284.8183,121.58
2025-11-20,Arbitrage Edge Fund,INF92510908,128.4195,3891.65
2025-11-25,Alpha Equity Fund - Regular,INF10391709,1899.3729,3387.18
2025-10-23,Liquid Ultra Fund,INF41494600,175.9219,87.19
2025-11-05,Arbitrage Edge Fund,INF34071801,370.9804,1144.08
2025-11-08,Alpha Equity Fund - Regular,INF16357002,1116.4682,1165.77
2025-10-24,Dynamic Asset Allocator,INF86914503,1838.4604,1217.77
2025-11-12,Alpha Equity Fund - Regular,INF54341604,181.3631,1023.83
2025-10-24,Short Term Debt Fund,INF39417205,1257.1001,472.47
2025-11-16,Balanced Advantage Fund,INF52720106,77.0024,3010.49
2025-11-10,Arbitrage Edge Fund,INF24419907,1814.6726,748.45
2025-11-01,Overnight Fund,INF42357408,987.8006,2490.59
2025-10-29,Balanced Advantage Fund,INF39420209,797.2352,614.22
2025-10-31,Dynamic Asset Allocator,INF78303500,1207.1816,3458.75
2025-10-22,Short Term Debt Fund,INF46080101,821.6205,3042.55
2025-11-26,Short Term Debt Fund,INF40964902,855.8257,2849.64
2025-10-30,Alpha Equity Fund - Regular,INF32451403,773.7532,4612.84
2025-10-23,Liquid Ultra Fund,INF33062604,1439.0402,3202.39
2025-10-24,Arbitrage Edge Fund,INF34031805,1360.7739,737.8
2025-11-02,Liquid Ultra Fund,INF32583806,848.6427,4565.8
2025-10-25,Arbitrage Edge Fund,INF18366407,63.0403,1630.75
2025-10-25,Alpha Equity Fund - Regular,INF12901508,1659.3109,3181.19
2025-10-21,Liquid Ultra Fund,INF62006709,560.9556,154.42
2025-11-19,Overnight Fund,INF44966000,1275.4787,2856.72
2025-11-04,Arbitrage Edge Fund,INF90945501,22.585,298.93
2025-11-21,Liquid Ultra Fund,INF27180402,467.6341,254.42
2025-10-27,Arbitrage Edge Fund,INF26769503,1188.1398,1240.77
2025-11-11,Overnight Fund,INF82474504,1868.6634,1917.89
2025-11-03,Alpha Equity Fund - Regular,INF63599105,1772.8961,3393.9
2025-11-07,Liquid Ultra Fund,INF11771306,890.2606,3898.96
2025-10-27,Liquid Ultra Fund,INF38374707,1536.8304,4257.66
2025-11-19,Liquid Ultra Fund,INF66067908,1921.4594,558.79
2025-10-29,Liquid Ultra Fund,INF64768009,147.2968,4492.2
2025-11-07,Arbitrage Edge Fund,INF38566800,125.2514,2322.96
2025-11-01,Liquid Ultra Fund,INF15856801,259.6629,260.88
2025-10-22,Short Term Debt Fund,INF76145102,463.704,1791.44
2025-11-22,Short Term Debt Fund,INF63459403,51.2571,4021.51
2025-11-10,Dynamic Asset Allocator,INF87598004,1548.4225,582.51
2025-11-18,Short Term Debt Fund,INF41354405,571.6301,3042.98
2025-11-08,Dynamic Asset Allocator,INF82129406,1340.6783,4875.95
2025-11-09,Short Term Debt Fund,INF73781907,613.009,4965.79
2025-11-12,Alpha Equity Fund - Regular,INF23628908,1329.2565,852.77
2025-11-06,Short Term Debt Fund,INF72790709,601.5328,2892.65
2025-11-22,Dynamic Asset Allocator,INF55298200,415.5602,4426.13
2025-10-28,Overnight Fund,INF56053901,1190.382,140.95
2025-10-21,Short Term Debt Fund,INF74157302,710.6532,3336.67
2025-10-30,Dynamic Asset Allocator,INF20047903,93.6566,1124.61
2025-11-13,Overnight Fund,INF54579504,172.5906,3465.68
2025-10-24,Short Term Debt Fund,INF67541105,1777.9115,209.11
2025-11-13,Overnight Fund,INF69948906,1440.8044,4544.88
2025-10-31,Overnight Fund,INF27396607,257.2564,3753.25
2025-10-29,Balanced Advantage Fund,INF59631708,1665.7381,1355.06
2025-11-20,Alpha Equity Fund - Regular,INF60059409,1198.6491,4453.28
2025-11-24,Arbitrage Edge Fund,INF99727500,909.2397,3189.77
2025-11-03,Dynamic Asset Allocator,INF59034101,830.1445,3543.2
2025-11-19,Alpha Equity Fund - Regular,INF59431102,36.8901,683.87
2025-11-15,Liquid Ultra Fund,INF11952003,556.1584,508.9
2025-11-21,Balanced Advantage Fund,INF16590904,481.9082,1178.22
2025-11-23,Liquid Ultra Fund,INF88828705,991.4617,4714.56
2025-11-02,Liquid Ultra Fund,INF88593706,1043.0571,3577.02
2025-11-15,Short Term Debt Fund,INF94385307,649.3856,3918.87
2025-11-15,Balanced Advantage Fund,INF68276608,1497.9576,2468.91
2025-11-08,Dynamic Asset Allocator,INF34497809,1773.2885,4329.32
2025-11-04,Short Term Debt Fund,INF97871600,1527.2819,4103.08
2025-11-18,Balanced Advantage Fund,INF26347101,225.5492,3896.04
2025-11-20,Arbitrage Edge Fund,INF99267802,70.4217,313.13
2025-11-19,Arbitrage Edge Fund,INF74046603,1065.8288,204.1
2025-10-26,Overnight Fund,INF96082904,1466.6327,2977.19
2025-11-12,Balanced Advantage Fund,INF31867305,443.8174,1822.33
2025-11-22,Alpha Equity Fund - Regular,INF72418206,51306.8381,4802.6
2025-11-25,Balanced Advantage Fund,INF97337207,339.4651,3224.69
2025-11-14,Balanced Advantage Fund,INF43400008,1663.5201,4098.2
2025-11-22,Balanced Advantage Fund,INF86972209,986.3462,2550.65
2025-11-02,Alpha Equity Fund - Regular,INF97806900,1255.0981,284.59
2025-10-31,Dynamic Asset Allocator,INF75995501,462.0585,2077.76
2025-10-24,Short Term Debt Fund,INF12920802,1261.4111,931.94
2025-10-31,Overnight Fund,INF96012903,765.8418,4214.36
2025-10-21,Alpha Equity Fund - Regular,INF10191004,144.4428,3118.69
2025-10-31,Liquid Ultra Fund,INF71534405,885.0121,1710.52
2025-11-03,Dynamic Asset Allocator,INF17686706,965.7993,4266.03
2025-11-19,Short Term Debt Fund,INF97027507,672.4485,3321.7
2025-11-19,Balanced Advantage Fund,INF29179108,1188.9209,4446.72
2025-11-16,Dynamic Asset Allocator,INF47612209,169.7297,4750.37
2025-10-30,Arbitrage Edge Fund,INF72397100,1346.7874,4035.67
2025-10-21,Dynamic Asset Allocator,INF39927301,451.3958,1110.29
2025-11-26,Short Term Debt Fund,INF76453102,1877.4516,3151.01
2025-10-24,Short Term Debt Fund,INF75429003,1429.7608,4605.86
2025-11-26,Balanced Advantage Fund,INF53988104,142.0108,768.41
2025-10-25,Dynamic Asset Allocator,INF77615505,513.028,3317.61
