ClientID,ISIN,SecurityName,FreeQty,LockedQty,TotalQty,Valuation
CL846378,INE002A01018,RELIANCE,1102,0,1102,236381.51
CL235118,INE154A01025,ITC,98,0,98,27798.7
CL618978,INE001A01036,HDFC,807,0,807,1822550.98
CL928176,INE018A01030,LT,2644,0,2644,867889.79
CL212230,INE009A01021,INFY,2367,0,2367,2272594.56
CL445508,INE001A01036,HDFC,728,0,728,656021.31
CL311211,INE062A01020,SBIN,939,0,939,2087782.92
CL950512,INE154A01025,ITC,1579,0,1579,3781629.43
CL466086,INE002A01018,RELIANCE,2622,0,2622,5749759.3
CL965416,INE002A01018,RELIANCE,1340,224,1564,1545797.3
CL250652,INE062A01020,SBIN,2969,0,2969,4261501.11
CL130197,INE154A01025,ITC,2892,0,2892,4507180.12
CL381902,INE238A01026,AXISBANK,1574,0,1574,2262760.63
CL108376,INE009A01021,INFY,686,0,686,1602630.1
CL762418,INE237A01028,KOTAKBANK,2648,0,2648,4416283.2
CL245182,INE009A01021,INFY,1148,0,1148,2084659.75
CL458234,INE090A01021,ICICIBANK,443,0,443,1138840.57
CL712495,INE001A01036,HDFC,1941,0,1941,5744564.8
CL630613,INE009A01021,INFY,2863,194,3057,3176393.67
CL696470,INE155A01022,TATAMOTORS,1464,0,1464,3684442.68
CL036360,INE018A01030,LT,1579,0,1579,3370374.65
CL331794,INE018A01030,LT,2733,0,2733,6666923.72
CL190417,INE237A01028,KOTAKBANK,321,0,321,173957.99
CL315640,INE090A01021,ICICIBANK,316,30,346,483193.05
CL827692,INE001A01036,HDFC,626,0,626,1350779.02
CL811775,INE002A01018,RELIANCE,1934,0,1934,1318779.69
CL945811,INE154A01025,ITC,1485,234,1719,4857218.79
CL499202,INE154A01025,ITC,1175,151,1326,2430633.65
CL580978,INE009A01021,INFY,693,0,693,711925.52
CL252965,INE062A01020,SBIN,58,0,58,34431.34
CL178054,INE238A01026,AXISBANK,2367,0,2367,5916489.64
CL818822,INE009A01021,INFY,2555,0,2555,7099315.0
CL531504,INE238A01026,AXISBANK,806,0,806,1992060.02
CL726242,INE155A01022,TATAMOTORS,2371,282,2653,896366.53
CL991304,INE018A01030,LT,1817,0,1817,3510039.88
CL672536,INE238A01026,AXISBANK,1969,0,1969,2857665.67
CL330816,INE154A01025,ITC,1132,0,1132,399880.85
CL305996,INE009A01021,INFY,1749,0,1749,3531719.52
CL062568,INE001A01036,HDFC,1496,0,1496,1745545.6
CL947537,INE009A01021,INFY,2578,0,2578,5887750.43
CL242364,INE062A01020,SBIN,1314,0,1314,2613041.27
CL235512,INE002A01018,RELIANCE,1847,0,1847,2205440.48
CL319974,INE238A01026,AXISBANK,69,0,69,56983.25
CL446957,INE018A01030,LT,828,0,828,1730913.15
CL863432,INE154A01025,ITC,2790,135,2925,8165075.38
CL266648,INE062A01020,SBIN,1663,0,1663,1874604.51
CL322451,INE154A01025,ITC,2216,0,2216,4667554.55
CL844578,INE237A01028,KOTAKBANK,2115,0,2115,4672851.73
CL142817,INE001A01036,HDFC,2980,0,2980,6151181.33
CL181767,INE155A01022,TATAMOTORS,2851,0,2851,559910.78
CL942776,INE090A01021,ICICIBANK,1593,0,1593,3671410.49
CL429547,INE001A01036,HDFC,2387,0,2387,4393280.0
CL592963,INE155A01022,TATAMOTORS,1591,264,1855,3721486.87
CL689642,INE002A01018,RELIANCE,1678,0,1678,3003133.97
CL023093,INE002A01018,RELIANCE,2218,0,2218,5088845.56
CL873116,INE154A01025,ITC,1851,0,1851,4715605.23
CL676244,INE237A01028,KOTAKBANK,2332,0,2332,4600398.24
CL759215,INE155A01022,TATAMOTORS,540,0,540,1225750.66
CL479812,INE155A01022,TATAMOTORS,313,0,313,38684.06
CL577120,INE237A01028,KOTAKBANK,1144,0,1144,356293.58
CL252787,INE001A01036,HDFC,1400,0,1400,3558075.55
CL663731,INE154A01025,ITC,1353,0,1353,2858218.42
CL635706,INE154A01025,ITC,241,0,241,600720.31
CL089331,INE002A01018,RELIANCE,64,0,64,89776.35
CL983032,INE002A01018,RELIANCE,943,0,943,2802456.15
CL790592,INE155A01022,TATAMOTORS,2977,0,2977,6508353.41
CL610689,INE237A01028,KOTAKBANK,589,291,880,277431.08
CL519636,INE001A01036,HDFC,2019,0,2019,4312687.81
CL322852,INE090A01021,ICICIBANK,2571,6,2577,1284821.99
CL309898,INE238A01026,AXISBANK,521,0,521,675017.21
CL792679,INE062A01020,SBIN,338,0,338,163468.38
CL755711,INE154A01025,ITC,2205,0,2205,640909.89
CL477016,INE009A01021,INFY,12,0,12,17981.25
CL652047,INE001A01036,HDFC,2857,0,2857,2139161.75
CL152557,INE062A01020,SBIN,642,0,642,1011213.61
CL883264,INE009A01021,INFY,2427,0,2427,6717911.34
CL271339,INE002A01018,RELIANCE,1230,0,1230,3664058.7
CL530174,INE001A01036,HDFC,1833,0,1833,2964908.17
CL299658,INE009A01021,INFY,2691,0,2691,4380511.71
CL614289,INE062A01020,SBIN,860,0,860,395971.81
CL632893,INE155A01022,TATAMOTORS,686,0,686,1139423.8
CL265886,INE238A01026,AXISBANK,1651,86,1737,2697751.95
CL030942,INE237A01028,KOTAKBANK,1327,0,1327,566112.29
CL822631,INE062A01020,SBIN,1714,175,1889,3515292.44
CL738717,INE009A01021,INFY,1373,97,1470,590586.42
CL969308,INE090A01021,ICICIBANK,570,0,570,217747.06
CL700878,INE090A01021,ICICIBANK,427,0,427,146944.96
CL324706,INE009A01021,INFY,735,0,735,733133.9
CL111251,INE001A01036,HDFC,2082,0,2082,6066412.42
CL499403,INE062A01020,SBIN,2938,0,2938,7338794.01
CL248183,INE237A01028,KOTAKBANK,2064,0,2064,4003872.0
CL061682,INE001A01036,HDFC,688,0,688,1797584.77
CL814006,INE237A01028,KOTAKBANK,1492,0,1492,2204173.51
CL668222,INE018A01030,LT,971,0,971,1602682.05
CL155938,INE009A01021,INFY,609,0,609,1626892.98
CL171986,INE154A01025,ITC,1322,0,1322,3819999.83
CL717588,INE154A01025,ITC,869,0,869,243628.29
CL177001,INE001A01036,HDFC,2734,0,2734,1132750.44
CL163582,INE002A01018,RELIANCE,297,0,297,166151.39
CL374128,INE155A01022,TATAMOTORS,141,0,141,124298.45
CL762414,INE237A01028,KOTAKBANK,2418,0,2418,2452354.61
CL564266,INE018A01030,LT,37,0,37,37277.27
CL191215,INE238A01026,AXISBANK,283,0,283,366483.13
CL636827,INE154A01025,ITC,842,60,902,1699334.55
CL238521,INE154A01025,ITC,2747,0,2747,2892762.94
CL218862,INE002A01018,RELIANCE,1385,0,1385,595265.57
CL785870,INE018A01030,LT,2412,0,2412,3992322.4
CL197587,INE090A01021,ICICIBANK,2901,55,2956,7469684.6
CL068091,INE238A01026,AXISBANK,1048,0,1048,2810377.34
CL655936,INE090A01021,ICICIBANK,1334,0,1334,3837812.27
CL615638,INE009A01021,INFY,884,0,884,474386.7
CL151860,INE154A01025,ITC,1544,0,1544,1417719.74
CL298349,INE018A01030,LT,699,0,699,1537495.2
CL839318,INE018A01030,LT,1540,0,1540,1837633.03
CL710977,INE062A01020,SBIN,42,0,42,64097.79
CL249063,INE018A01030,LT,1225,0,1225,862488.32
CL366449,INE090A01021,ICICIBANK,902,0,902,1495929.37
CL323796,INE002A01018,RELIANCE,2953,0,2953,415695.66
CL983308,INE009A01021,INFY,2547,58,2605,6835641.48
CL619717,INE154A01025,ITC,1258,0,1258,2601899.25
CL296373,INE062A01020,SBIN,2841,232,3073,6002688.99
CL994121,INE001A01036,HDFC,2746,0,2746,6472977.78
CL056297,INE018A01030,LT,2364,0,2364,5291972.26
CL861703,INE018A01030,LT,2424,0,2424,735039.16
CL869027,INE238A01026,AXISBANK,245,0,245,117121.5
CL725687,INE002A01018,RELIANCE,647,0,647,403563.8
CL665496,INE001A01036,HDFC,241,0,241,567673.93
CL098466,INE154A01025,ITC,803,0,803,239380.81
CL334516,INE062A01020,SBIN,1309,84,1393,2618021.45
CL564969,INE155A01022,TATAMOTORS,140,0,140,67958.94
CL996889,INE155A01022,TATAMOTORS,1569,0,1569,4246263.48
CL563133,INE090A01021,ICICIBANK,204,130,334,288070.64
CL965935,INE155A01022,TATAMOTORS,1202,151,1353,2864144.04
CL930140,INE002A01018,RELIANCE,905,0,905,1653857.96
CL671993,INE155A01022,TATAMOTORS,2487,0,2487,638949.93
CL825973,INE238A01026,AXISBANK,1237,242,1479,3904040.57
CL328433,INE154A01025,ITC,1682,0,1682,1017055.5
CL694730,INE002A01018,RELIANCE,724,141,865,1516109.05
CL511666,INE155A01022,TATAMOTORS,1453,173,1626,208861.24
CL454644,INE002A01018,RELIANCE,997,0,997,781064.96
CL853905,INE018A01030,LT,137,0,137,111880.33
CL465393,INE002A01018,RELIANCE,1787,0,1787,2787275.75
CL335715,INE090A01021,ICICIBANK,1004,0,1004,2345188.28
CL675912,INE062A01020,SBIN,2754,140,2894,1955324.4
CL803386,INE001A01036,HDFC,680,0,680,919666.22
CL146457,INE154A01025,ITC,1784,0,1784,2415936.73
CL874989,INE237A01028,KOTAKBANK,309,268,577,796832.32
CL964799,INE062A01020,SBIN,2029,0,2029,593206.08
CL707805,INE009A01021,INFY,74,0,74,86968.13
CL470800,INE238A01026,AXISBANK,85,0,85,42207.76
CL048498,INE009A01021,INFY,1086,0,1086,394937.31
CL540471,INE154A01025,ITC,967,0,967,2551885.72
CL626919,INE237A01028,KOTAKBANK,2389,0,2389,1194236.14
CL366906,INE154A01025,ITC,2590,0,2590,5373228.44
CL593928,INE237A01028,KOTAKBANK,1280,0,1280,1266000.62
CL999723,INE090A01021,ICICIBANK,1687,0,1687,2906377.96
CL381053,INE154A01025,ITC,2541,0,2541,995155.8
CL736839,INE238A01026,AXISBANK,1,0,1,1442.38
CL339243,INE062A01020,SBIN,2889,0,2889,2727351.17
CL095812,INE062A01020,SBIN,2080,0,2080,1930842.88
CL337509,INE002A01018,RELIANCE,573,0,573,1623731.33
CL228215,INE062A01020,SBIN,2660,0,2660,5294732.12
CL826821,INE090A01021,ICICIBANK,943,0,943,2229157.35
CL552445,INE009A01021,INFY,2277,0,2277,3872699.11
CL911727,INE237A01028,KOTAKBANK,1735,0,1735,2186812.3
CL357446,INE002A01018,RELIANCE,895,0,895,1498318.45
CL999270,INE154A01025,ITC,122,0,122,266746.27
CL472718,INE001A01036,HDFC,247,0,247,163771.23
CL836344,INE001A01036,HDFC,239,0,239,366690.78
CL113126,INE154A01025,ITC,1831,0,1831,3846315.42
CL413648,INE001A01036,HDFC,2747,0,2747,1470975.39
CL453315,INE154A01025,ITC,131,0,131,301672.76
CL071742,INE009A01021,INFY,684,0,684,764810.94
CL062407,INE238A01026,AXISBANK,1798,0,1798,4051495.6
CL478775,INE018A01030,LT,746,0,746,172791.13
CL550290,INE001A01036,HDFC,1299,0,1299,1103446.87
CL428707,INE009A01021,INFY,715,0,715,1352024.43
CL552663,INE090A01021,ICICIBANK,2509,0,2509,4362071.71
CL606978,INE018A01030,LT,2462,0,2462,6703127.49
CL551912,INE002A01018,RELIANCE,1469,0,1469,236062.74
CL494420,INE155A01022,TATAMOTORS,17,0,17,35726.51
CL807285,INE155A01022,TATAMOTORS,2277,0,2277,5006046.49
CL114522,INE155A01022,TATAMOTORS,131,233,364,229374.55
CL232721,INE237A01028,KOTAKBANK,784,0,784,157316.79
CL970833,INE154A01025,ITC,1421,72,1493,1069458.11
CL084922,INE009A01021,INFY,2359,0,2359,3029044.0
CL906888,INE154A01025,ITC,202,0,202,526757.36
CL406199,INE002A01018,RELIANCE,1714,0,1714,2117122.61
CL395109,INE090A01021,ICICIBANK,455,0,455,1248271.59
CL202423,INE238A01026,AXISBANK,2666,150,2816,1993264.18
CL893268,INE238A01026,AXISBANK,1748,225,1973,3472632.5
CL173267,INE009A01021,INFY,132,91,223,173923.9
CL844041,INE155A01022,TATAMOTORS,9,0,9,16430.72
CL751211,INE009A01021,INFY,2978,0,2978,7470549.22
CL215062,INE238A01026,AXISBANK,2699,0,2699,4833469.64
CL901528,INE009A01021,INFY,1198,58,1256,499172.39
CL975362,INE238A01026,AXISBANK,587,157,744,1816986.69
CL711959,INE237A01028,KOTAKBANK,972,0,972,608539.61
CL543446,INE237A01028,KOTAKBANK,144,14,158,86678.49
CL014389,INE001A01036,HDFC,2197,0,2197,4180508.61
CL173573,INE002A01018,RELIANCE,106,0,106,207315.27
CL444826,INE154A01025,ITC,2522,250,2772,4349593.58
CL483578,INE018A01030,LT,2295,0,2295,6260163.1
CL343181,INE062A01020,SBIN,784,118,902,2532759.94
CL354961,INE155A01022,TATAMOTORS,537,0,537,1568880.13
CL764461,INE090A01021,ICICIBANK,2774,0,2774,6863733.78
CL564589,INE018A01030,LT,2731,0,2731,4822329.69
CL296946,INE001A01036,HDFC,2321,0,2321,5370220.62
CL300125,INE018A01030,LT,1326,0,1326,3561700.53
CL608078,INE062A01020,SBIN,2221,261,2482,4911175.88
CL035568,INE018A01030,LT,769,0,769,796359.81
CL478805,INE018A01030,LT,1617,0,1617,1336191.04
CL634302,INE154A01025,ITC,877,0,877,880382.52
CL973436,INE237A01028,KOTAKBANK,1407,0,1407,488158.76
CL064303,INE154A01025,ITC,1355,59,1414,821745.92
CL617360,INE155A01022,TATAMOTORS,2653,124,2777,8253819.31
CL180474,INE001A01036,HDFC,1774,0,1774,1852528.96
CL907720,INE238A01026,AXISBANK,320,0,320,303525.64
CL111341,INE155A01022,TATAMOTORS,1851,0,1851,312490.1
CL801267,INE062A01020,SBIN,2593,0,2593,4295749.26
CL267350,INE009A01021,INFY,235,0,235,251600.0
CL590336,INE009A01021,INFY,308,0,308,858526.33
CL296395,INE009A01021,INFY,1055,184,1239,2906075.08
CL228342,INE238A01026,AXISBANK,2142,0,2142,5822329.48
CL818068,INE018A01030,LT,1800,0,1800,1618689.47
CL742616,INE062A01020,SBIN,2980,0,2980,8087675.69
CL069757,INE009A01021,INFY,548,0,548,1481715.33
CL466188,INE002A01018,RELIANCE,2569,244,2813,3507254.08
CL518887,INE062A01020,SBIN,2399,0,2399,1343747.39
CL269787,INE062A01020,SBIN,273,0,273,606785.95
CL637806,INE002A01018,RELIANCE,2858,0,2858,6344412.7
CL921194,INE062A01020,SBIN,278,0,278,825155.95
CL482097,INE009A01021,INFY,844,0,844,1361641.03
CL977525,INE009A01021,INFY,401,0,401,374500.8
CL009960,INE062A01020,SBIN,230,0,230,575105.22
CL844034,INE090A01021,ICICIBANK,2702,0,2702,3349483.7
CL875354,INE002A01018,RELIANCE,759,250,1009,1785863.33
CL620367,INE155A01022,TATAMOTORS,829,198,1027,3004982.12
CL065013,INE001A01036,HDFC,2099,0,2099,3851021.38
CL295091,INE237A01028,KOTAKBANK,808,0,808,1309186.48
CL533706,INE062A01020,SBIN,477,0,477,568584.59
CL879880,INE062A01020,SBIN,869,0,869,2199499.07
CL911850,INE155A01022,TATAMOTORS,212,231,443,253063.65
CL971710,INE002A01018,RELIANCE,2439,0,2439,5104211.48
CL973667,INE090A01021,ICICIBANK,2343,0,2343,1989338.63
CL503453,INE062A01020,SBIN,2013,0,2013,2913717.39
CL828032,INE062A01020,SBIN,2858,0,2858,4259138.88
CL717954,INE238A01026,AXISBANK,2515,0,2515,2056086.09
CL991874,INE018A01030,LT,949,0,949,1139204.87
CL584555,INE002A01018,RELIANCE,2162,0,2162,4858346.01
CL717590,INE154A01025,ITC,2056,194,2250,6012399.86
CL430540,INE062A01020,SBIN,2117,0,2117,2846163.29
CL052858,INE154A01025,ITC,1096,0,1096,1936231.08
CL012244,INE062A01020,SBIN,2688,30,2718,2054426.67
CL208706,INE154A01025,ITC,295,0,295,378807.13
CL052484,INE018A01030,LT,302,0,302,827300.18
CL560191,INE155A01022,TATAMOTORS,1331,0,1331,3133540.49
CL080214,INE001A01036,HDFC,2546,0,2546,329903.0
CL598366,INE237A01028,KOTAKBANK,1794,0,1794,1344091.26
CL920113,INE009A01021,INFY,1586,291,1877,5092920.63
CL722203,INE238A01026,AXISBANK,2045,0,2045,3699234.42
CL074816,INE155A01022,TATAMOTORS,1530,204,1734,1059148.88
CL901424,INE238A01026,AXISBANK,570,0,570,689476.43
CL042845,INE238A01026,AXISBANK,1303,16,1319,709331.87
CL463577,INE001A01036,HDFC,2081,117,2198,6168103.99
CL347096,INE002A01018,RELIANCE,2826,0,2826,7460565.15
CL028641,INE002A01018,RELIANCE,1192,0,1192,1817862.49
CL999874,INE001A01036,HDFC,678,0,678,1484496.41
CL712147,INE002A01018,RELIANCE,1397,0,1397,4183628.17
CL056895,INE237A01028,KOTAKBANK,2040,0,2040,5324476.65
CL280383,INE238A01026,AXISBANK,2537,88,2625,2960303.66
CL299108,INE001A01036,HDFC,1823,0,1823,5055619.89
CL662554,INE002A01018,RELIANCE,931,0,931,393721.85
CL105972,INE062A01020,SBIN,72,0,72,175010.62
CL201589,INE237A01028,KOTAKBANK,2197,0,2197,523932.03
CL134539,INE018A01030,LT,2430,275,2705,437434.65
CL797283,INE062A01020,SBIN,2228,0,2228,2845357.27
CL152644,INE237A01028,KOTAKBANK,674,0,674,825803.84
CL457350,INE002A01018,RELIANCE,698,195,893,445080.83
CL423256,INE090A01021,ICICIBANK,7,285,292,355558.13
CL070820,INE090A01021,ICICIBANK,1661,0,1661,3632349.62
CL139343,INE062A01020,SBIN,2815,0,2815,3186743.56
CL823689,INE154A01025,ITC,2178,0,2178,6152611.12
CL191199,INE155A01022,TATAMOTORS,873,0,873,629863.87
CL184016,INE154A01025,ITC,1609,0,1609,3046256.85
CL832234,INE237A01028,KOTAKBANK,1168,0,1168,1624549.44
CL283839,INE001A01036,HDFC,1959,60,2019,227407.3
CL558084,INE002A01018,RELIANCE,2547,0,2547,5154786.98
CL094443,INE062A01020,SBIN,1288,0,1288,1404065.31
CL612351,INE090A01021,ICICIBANK,2025,0,2025,5579545.32
CL790837,INE009A01021,INFY,2937,0,2937,7945036.38
CL291373,INE062A01020,SBIN,2287,0,2287,6336779.91
CL308572,INE238A01026,AXISBANK,2377,207,2584,2145054.8
CL411523,INE154A01025,ITC,2123,0,2123,4766869.51
CL212664,INE154A01025,ITC,2899,0,2899,5132749.26
CL388862,INE237A01028,KOTAKBANK,1956,0,1956,2326785.98
CL719525,INE154A01025,ITC,1288,0,1288,2627192.43
CL592620,INE002A01018,RELIANCE,507,0,507,323661.93
CL446809,INE238A01026,AXISBANK,717,0,717,1691384.62
CL205649,INE001A01036,HDFC,1474,292,1766,2881339.72
CL070289,INE002A01018,RELIANCE,2776,0,2776,2077050.6
CL122854,INE090A01021,ICICIBANK,1102,0,1102,3173372.55
CL902691,INE001A01036,HDFC,889,55,944,2636713.68
CL584364,INE237A01028,KOTAKBANK,863,0,863,218106.41
CL200805,INE001A01036,HDFC,724,0,724,1225399.3
CL086868,INE002A01018,RELIANCE,2591,0,2591,2268720.33
CL086010,INE090A01021,ICICIBANK,2220,0,2220,650536.97
CL275504,INE001A01036,HDFC,226,0,226,583451.81
CL429792,INE001A01036,HDFC,731,0,731,684730.87
CL422271,INE154A01025,ITC,759,84,843,384678.66
CL583070,INE237A01028,KOTAKBANK,63,283,346,980194.81
CL691633,INE238A01026,AXISBANK,1303,0,1303,3200999.48
CL337823,INE090A01021,ICICIBANK,2381,240,2621,6312411.39
CL148191,INE062A01020,SBIN,709,0,709,1623331.25
CL284070,INE237A01028,KOTAKBANK,246,0,246,530563.84
CL329207,INE238A01026,AXISBANK,1321,0,1321,2008484.23
CL704159,INE062A01020,SBIN,2330,0,2330,5937143.29
CL566694,INE238A01026,AXISBANK,1146,0,1146,458424.85
CL404965,INE018A01030,LT,2644,0,2644,4459282.17
CL954687,INE002A01018,RELIANCE,1848,0,1848,4267352.91
CL074610,INE154A01025,ITC,2415,0,2415,5621916.89
CL230364,INE090A01021,ICICIBANK,1379,0,1379,1153459.8
CL653447,INE009A01021,INFY,864,0,864,1586398.17
CL264626,INE155A01022,TATAMOTORS,221,0,221,568413.53
CL097241,INE009A01021,INFY,892,0,892,917353.21
CL805326,INE001A01036,HDFC,1564,0,1564,3072906.64
CL337438,INE238A01026,AXISBANK,1039,0,1039,2352442.98
CL401238,INE062A01020,SBIN,453,0,453,1000101.71
CL448255,INE009A01021,INFY,2560,69,2629,6436424.56
CL550005,INE154A01025,ITC,2926,0,2926,3101823.02
CL125324,INE155A01022,TATAMOTORS,862,0,862,883019.36
CL496597,INE001A01036,HDFC,598,0,598,1095365.64
CL362690,INE009A01021,INFY,1557,0,1557,3480863.69
CL634352,INE062A01020,SBIN,2037,0,2037,3898351.0
CL639699,INE002A01018,RELIANCE,781,0,781,1515444.41
CL255290,INE154A01025,ITC,1833,0,1833,3413040.68
CL559161,INE155A01022,TATAMOTORS,2226,0,2226,3929504.09
CL896782,INE062A01020,SBIN,860,0,860,139579.23
CL474766,INE062A01020,SBIN,2720,0,2720,3544426.82
CL149293,INE090A01021,ICICIBANK,2341,176,2517,6499878.3
CL930111,INE090A01021,ICICIBANK,2735,0,2735,8070245.07
CL427701,INE090A01021,ICICIBANK,2344,0,2344,1836767.34
CL273466,INE155A01022,TATAMOTORS,2375,0,2375,5912930.54
CL127414,INE001A01036,HDFC,2483,0,2483,7215176.66
CL197210,INE154A01025,ITC,1591,206,1797,3314149.15
CL238501,INE002A01018,RELIANCE,1391,0,1391,3076709.44
CL570044,INE090A01021,ICICIBANK,2860,0,2860,5750121.7
CL768615,INE154A01025,ITC,2182,160,2342,4434440.36
CL236028,INE018A01030,LT,2321,0,2321,1796300.62
CL463443,INE018A01030,LT,2780,0,2780,2916522.88
CL726951,INE009A01021,INFY,1584,0,1584,4728656.83
CL377932,INE001A01036,HDFC,34,0,34,55433.1
CL827857,INE238A01026,AXISBANK,1729,203,1932,217384.43
CL174977,INE018A01030,LT,2881,2,2883,7896254.63
CL150527,INE009A01021,INFY,2317,0,2317,1105673.15
CL649044,INE018A01030,LT,2639,0,2639,1279622.82
CL148674,INE155A01022,TATAMOTORS,2244,28,2272,5099996.96
CL385237,INE002A01018,RELIANCE,753,0,753,1225662.65
CL462366,INE237A01028,KOTAKBANK,1215,0,1215,3572398.47
CL864143,INE154A01025,ITC,902,0,902,509196.49
CL296457,INE237A01028,KOTAKBANK,640,0,640,1034754.03
CL561661,INE002A01018,RELIANCE,600,0,600,732205.99
CL633375,INE237A01028,KOTAKBANK,1908,139,2047,3695440.44
CL275104,INE154A01025,ITC,1226,0,1226,1593366.05
CL529201,INE009A01021,INFY,2053,0,2053,830146.3
CL702695,INE238A01026,AXISBANK,1897,0,1897,1892453.76
CL026569,INE018A01030,LT,956,61,1017,1882085.08
CL021956,INE090A01021,ICICIBANK,2130,0,2130,3553599.81
CL300844,INE002A01018,RELIANCE,2910,0,2910,4925855.24
CL496828,INE001A01036,HDFC,146,0,146,74490.78
CL149912,INE009A01021,INFY,1204,97,1301,3820366.35
CL552826,INE018A01030,LT,1359,264,1623,545174.46
CL625798,INE018A01030,LT,1512,0,1512,3202357.41
CL971233,INE002A01018,RELIANCE,1843,0,1843,3980328.67
CL780824,INE009A01021,INFY,2888,218,3106,6595225.06
CL282091,INE018A01030,LT,2178,0,2178,2624505.4
CL647233,INE001A01036,HDFC,1037,0,1037,464029.02
CL760162,INE154A01025,ITC,669,0,669,1362484.12
CL161341,INE154A01025,ITC,115,0,115,56316.67
CL924117,INE009A01021,INFY,401,39,440,775923.85
CL310733,INE237A01028,KOTAKBANK,2834,128,2962,6468915.86
CL296954,INE155A01022,TATAMOTORS,1382,0,1382,3308329.21
CL704607,INE001A01036,HDFC,553,0,553,1082128.14
CL701295,INE009A01021,INFY,582,0,582,951212.54
CL693482,INE155A01022,TATAMOTORS,2345,0,2345,6545174.02
CL804611,INE090A01021,ICICIBANK,1280,163,1443,3283016.96
CL674081,INE090A01021,ICICIBANK,1182,0,1182,2163882.72
CL830088,INE154A01025,ITC,2218,0,2218,1506348.52
CL473369,INE090A01021,ICICIBANK,2726,0,2726,1956174.88
CL549571,INE009A01021,INFY,504,0,504,1495942.71
CL879325,INE062A01020,SBIN,870,0,870,1525400.43
CL769010,INE237A01028,KOTAKBANK,2001,0,2001,5338195.55
CL873565,INE062A01020,SBIN,2710,0,2710,5440867.64
CL977342,INE002A01018,RELIANCE,2040,0,2040,5760930.05
CL804396,INE062A01020,SBIN,2680,17,2697,6344815.07
CL368763,INE237A01028,KOTAKBANK,660,53,713,599190.93
CL900237,INE090A01021,ICICIBANK,1718,0,1718,895139.47
CL121088,INE009A01021,INFY,1681,95,1776,4012235.34
CL246826,INE002A01018,RELIANCE,387,0,387,599001.82
CL201603,INE237A01028,KOTAKBANK,2968,0,2968,6178631.78
CL647823,INE002A01018,RELIANCE,2512,0,2512,6502666.45
CL570071,INE237A01028,KOTAKBANK,2150,0,2150,3523888.78
CL905275,INE090A01021,ICICIBANK,1272,0,1272,2934391.56
