txn_dt,brkr_id,cli_id,scrip,direction,units,rate_inr,net_val_inr
25-Nov-25,OMEGA_BROKING,CL322580,ICICIBANK,B,244,1659.64,404952.16
11-29-2025,OMEGA_BROKING,CL808318,AXISBANK,S,168,1719.01,288793.68
2025-11-24,BETA_INVEST,CL584931,RELIANCE,S,378,1005.99,380264.22
26-Nov-25,OMEGA_BROKING,CL385216,ICICIBANK,S,353,149.54,52787.62
11-25-2025,DELTA_TRADES,CL760059,HDFC,B,154,2541.7,391421.8
25-Nov-25,DELTA_TRADES,CL940069,TATAMOTORS,B,115,1469.05,168940.75
20/11/2025,DELTA_TRADES,CL081951,SBIN,S,340,1626.89,553142.6
26-Nov-25,ALPHA_SEC,CL330792,HDFC,S,208,267.93,55729.44
25-Nov-25,BETA_INVEST,CL384617,RELIANCE,S,341,606.78,206911.98
2025-11-22,BETA_INVEST,CL646674,LT,B,51,2351.15,119908.65
2025-11-23,OMEGA_BROKING,CL055940,INFY,S,302,1549.86,468057.72
26-Nov-25,BETA_INVEST,CL951769,AXISBANK,S,174,2632.96,458135.04
11-20-2025,BETA_INVEST,CL475430,HDFC,B,43,1425.34,61289.62
23/11/2025,ALPHA_SEC,CL113613,SBIN,S,106,2580.03,273483.18
2025-11-22,DELTA_TRADES,CL874206,RELIANCE,S,67,1380.96,92524.32
2025-11-26,BETA_INVEST,CL515422,RELIANCE,B,71,1202.43,85372.53
26/11/2025,BETA_INVEST,CL543620,RELIANCE,S,234,410.96,96164.64
11-25-2025,BETA_INVEST,CL480930,KOTAKBANK,S,187,997.65,186560.55
21-Nov-25,OMEGA_BROKING,CL663081,INFY,S,28,975.3,27308.4
26-Nov-25,DELTA_TRADES,CL104702,HDFC,B,68,2663.44,181113.92
11-22-2025,BETA_INVEST,CL367840,ICICIBANK,S,158,2403.23,379710.34
26/11/2025,BETA_INVEST,CL975228,TATAMOTORS,S,177,2397.87,424422.99
2025-11-24,DELTA_TRADES,CL807185,ITC,B,152,581.47,88383.44
2025-11-26,DELTA_TRADES,CL679628,KOTAKBANK,S,268,2487.57,666668.76
11-23-2025,ALPHA_SEC,CL671351,SBIN,S,143,259.93,37169.99
11-23-2025,ALPHA_SEC,CL236400,TATAMOTORS,S,88,2562.8,225526.4
2025-11-26,OMEGA_BROKING,CL251847,HDFC,B,358,1121.11,401357.38
2025-11-21,DELTA_TRADES,CL988923,ICICIBANK,S,269,2527.12,679795.28
11-22-2025,DELTA_TRADES,CL994084,ICICIBANK,S,271,580.48,157310.08
11-24-2025,ALPHA_SEC,CL439278,RELIANCE,S,54,2198.92,118741.68
2025-11-23,OMEGA_BROKING,CL272225,SBIN,B,290,2713.38,786880.2
11-29-2025,BETA_INVEST,CL298279,LT,B,233,748.75,174458.75
11-23-2025,BETA_INVEST,CL534884,KOTAKBANK,S,358,871.74,291296.48
2025-11-21,DELTA_TRADES,CL133992,KOTAKBANK,B,269,2024.75,544657.75
2025-11-25,OMEGA_BROKING,CL094723,LT,B,83,2642.62,219337.46
23-Nov-25,BETA_INVEST,CL938070,TATAMOTORS,B,366,179.95,
2025-11-25,DELTA_TRADES,CL929974,KOTAKBANK,S,180,1290.54,232297.2
26/11/2025,OMEGA_BROKING,CL382700,KOTAKBANK,S,272,428.22,116475.84
2025-11-22,DELTA_TRADES,CL282084,ICICIBANK,B,305,1818.36,554599.8
20-Nov-25,OMEGA_BROKING,CL251254,KOTAKBANK,S,8,688.88,5511.04
2025-11-21,DELTA_TRADES,CL983387,KOTAKBANK,S,157,2082.86,327009.02
26/11/2025,BETA_INVEST,CL745118,SBIN,B,339,707.33,239784.87
2025-11-21,DELTA_TRADES,CL780949,LT,S,349,695.65,242781.85
11-21-2025,ALPHA_SEC,CL104300,KOTAKBANK,S,327,2398.71,784378.17
23/11/2025,DELTA_TRADES,CL363523,ITC,S,147,2736.88,402321.36
20-Nov-25,BETA_INVEST,CL815529,TATAMOTORS,B,26,1282.83,33353.58
21-Nov-25,OMEGA_BROKING,CL384488,ITC,S,81,1382.38,111972.78
25/11/2025,ALPHA_SEC,CL406988,INFY,B,261,832.22,217209.42
25/11/2025,BETA_INVEST,CL554098,INFY,S,138,321.8,
2025-11-22,BETA_INVEST,CL529139,HDFC,S,376,492.93,185341.68
2025-11-21,ALPHA_SEC,CL944325,TATAMOTORS,S,60,2464.6,147876.0
11-21-2025,ALPHA_SEC,CL498816,LT,B,258,2752.23,710075.34
11-20-2025,BETA_INVEST,CL779303,TATAMOTORS,B,283,1312.74,245394.59
23-Nov-25,DELTA_TRADES,CL502272,INFY,B,271,1527.83,414041.93
11-22-2025,BETA_INVEST,CL149685,TATAMOTORS,S,87,2333.56,203019.72
2025-11-24,OMEGA_BROKING,CL631862,LT,B,235,375.24,88181.4
11-26-2025,OMEGA_BROKING,CL390832,INFY,B,104,688.77,71632.08
2025-11-23,OMEGA_BROKING,CL643830,AXISBANK,S,180,268.6,48348.0
23-Nov-25,OMEGA_BROKING,CL753102,SBIN,B,343,2628.9,901712.7
23/11/2025,ALPHA_SEC,CL149372,ICICIBANK,S,264,1276.24,336927.36
25/11/2025,OMEGA_BROKING,CL510752,ITC,S,4,1813.1,7252.4
11-22-2025,DELTA_TRADES,CL496616,TATAMOTORS,B,195,367.39,71641.05
26-Nov-25,BETA_INVEST,CL755274,ITC,B,162,245.18,39719.16
11-23-2025,DELTA_TRADES,CL444046,ITC,S,334,2228.49,744315.66
11-20-2025,BETA_INVEST,CL636770,LT,B,112,488.05,54661.6
23/11/2025,OMEGA_BROKING,CL338705,ITC,S,170,1454.56,247275.2
25-Nov-25,BETA_INVEST,CL277951,AXISBANK,S,292,406.99,118841.08
2025-11-22,DELTA_TRADES,CL673838,ICICIBANK,B,112,532.5,59640.0
26-Nov-25,BETA_INVEST,CL336436,INFY,S,248,1585.16,393119.68
2025-11-21,DELTA_TRADES,CL401315,SBIN,B,379,1948.52,738489.08
25-Nov-25,OMEGA_BROKING,CL915331,HDFC,S,274,2145.51,587869.74
2025-11-24,OMEGA_BROKING,CL598092,INFY,B,218,1927.31,420153.58
25/11/2025,ALPHA_SEC,CL012665,TATAMOTORS,B,63,1255.09,79070.67
21-Nov-25,OMEGA_BROKING,CL019292,KOTAKBANK,S,398,2195.97,873996.06
25-Nov-25,BETA_INVEST,CL654784,SBIN,S,348,169.32,58923.36
11-21-2025,BETA_INVEST,CL964109,SBIN,S,146,2241.46,327253.16
21/11/2025,DELTA_TRADES,CL700070,TATAMOTORS,S,181,1060.47,191945.07
2025-11-21,ALPHA_SEC,CL914487,ITC,B,21,2561.73,53796.33
2025-11-22,BETA_INVEST,CL178547,INFY,S,389,1956.56,761101.84
25/11/2025,ALPHA_SEC,CL719317,KOTAKBANK,S,300,1309.71,392913.0
2025-11-25,BETA_INVEST,CL398710,KOTAKBANK,B,269,1811.69,487344.61
11-22-2025,ALPHA_SEC,CL788791,INFY,S,74,705.42,52201.08
2025-11-25,ALPHA_SEC,CL128423,ITC,S,59,832.33,49107.47
11-26-2025,OMEGA_BROKING,CL807695,HDFC,B,273,834.08,227703.84
22-Nov-25,BETA_INVEST,CL133544,ICICIBANK,S,399,1126.05,449293.95
25-Nov-25,OMEGA_BROKING,CL662180,SBIN,B,286,2560.82,732394.52
11-29-2025,ALPHA_SEC,CL070791,LT,S,200,860.53,172106.0
25-Nov-25,ALPHA_SEC,CL228937,INFY,B,279,1140.01,318062.79
23/11/2025,DELTA_TRADES,CL606437,TATAMOTORS,B,316,2651.42,837848.72
23/11/2025,BETA_INVEST,CL113898,TATAMOTORS,B,245,2599.39,636850.55
26/11/2025,BETA_INVEST,CL682640,SBIN,B,231,2164.75,500057.25
11-22-2025,DELTA_TRADES,CL793665,INFY,S,290,2560.0,742400.0
23/11/2025,DELTA_TRADES,CL237944,TATAMOTORS,S,305,1648.27,502722.35
26-Nov-25,ALPHA_SEC,CL855758,HDFC,B,157,626.72,98395.04
29-Nov-25,ALPHA_SEC,CL542054,ICICIBANK,B,53,1947.59,103222.27
11-25-2025,BETA_INVEST,CL099638,KOTAKBANK,B,107,2668.82,285563.74
2025-11-24,OMEGA_BROKING,CL171422,KOTAKBANK,B,72,1239.75,89262.0
11-21-2025,DELTA_TRADES,CL230609,INFY,B,52,2682.41,139485.32
11-21-2025,DELTA_TRADES,CL408120,ICICIBANK,B,117,2206.12,258116.04
11-24-2025,OMEGA_BROKING,CL883824,LT,B,176,982.17,172861.92
20-Nov-25,DELTA_TRADES,CL133190,ITC,B,226,2549.26,576132.76
2025-11-24,DELTA_TRADES,CL206351,LT,S,222,1455.62,323147.64
24-Nov-25,OMEGA_BROKING,CL558894,RELIANCE,B,340,339.6,71485.15
2025-11-20,ALPHA_SEC,CL469796,ITC,B,81,493.59,39980.79
20/11/2025,ALPHA_SEC,CL894292,INFY,S,223,2496.6,556741.8
2025-11-21,OMEGA_BROKING,CL499761,RELIANCE,B,224,571.89,128103.36
11-25-2025,BETA_INVEST,CL007500,SBIN,S,124,2481.17,307665.08
23/11/2025,DELTA_TRADES,CL019441,ITC,S,353,1470.64,519135.92
24/11/2025,ALPHA_SEC,CL216855,LT,S,93,1540.1,143229.3
11-25-2025,OMEGA_BROKING,CL206791,RELIANCE,S,144,2162.16,311351.04
20-Nov-25,BETA_INVEST,CL618057,LT,B,51,1720.98,87769.98
11-22-2025,BETA_INVEST,CL372616,LT,B,70,1834.71,128429.7
11-21-2025,OMEGA_BROKING,CL193532,ITC,B,191,1756.47,335485.77
2025-11-21,BETA_INVEST,CL352699,LT,S,151,2095.44,316411.44
24-Nov-25,DELTA_TRADES,CL348723,TATAMOTORS,B,268,909.5,243746.0
2025-11-26,BETA_INVEST,CL489102,ITC,B,251,1969.44,494329.44
21-Nov-25,BETA_INVEST,CL050986,AXISBANK,S,321,2687.95,862831.95
2025-11-20,DELTA_TRADES,CL818766,AXISBANK,S,333,493.72,164408.76
20-Nov-25,ALPHA_SEC,CL633064,KOTAKBANK,S,290,1453.76,421590.4
23-Nov-25,OMEGA_BROKING,CL487436,HDFC,S,182,1779.19,323812.58
11-20-2025,OMEGA_BROKING,CL677296,TATAMOTORS,B,367,2322.38,852313.46
11-21-2025,DELTA_TRADES,CL574257,KOTAKBANK,B,11,229.26,2521.86
11-21-2025,BETA_INVEST,CL136034,ICICIBANK,S,310,2689.79,833834.9
24-Nov-25,ALPHA_SEC,CL757848,SBIN,S,180,1398.52,251733.6
11-23-2025,ALPHA_SEC,CL104033,HDFC,S,68,2214.01,150552.68
11-20-2025,DELTA_TRADES,CL384661,KOTAKBANK,B,249,2078.65,517583.85
2025-11-25,ALPHA_SEC,CL214990,ICICIBANK,B,66,1283.49,84710.34
22-Nov-25,ALPHA_SEC,CL507141,AXISBANK,B,221,1638.22,362046.62
11-26-2025,ALPHA_SEC,CL727348,KOTAKBANK,S,258,1157.26,298573.08
2025-11-20,DELTA_TRADES,CL994336,INFY,S,19,2573.22,48891.18
21/11/2025,BETA_INVEST,CL176323,HDFC,B,349,427.28,149120.72
26-Nov-25,DELTA_TRADES,CL158592,LT,S,21,2195.87,46113.27
24-Nov-25,ALPHA_SEC,CL162877,INFY,S,141,1232.52,173785.32
2025-11-21,ALPHA_SEC,CL354167,TATAMOTORS,B,342,2539.25,868423.5
2025-11-25,OMEGA_BROKING,CL635002,INFY,B,11,129.81,1427.91
2025-11-24,OMEGA_BROKING,CL578813,KOTAKBANK,B,46,1082.35,49788.1
2025-11-25,ALPHA_SEC,CL722386,HDFC,S,127,2454.67,311743.09
2025-11-21,BETA_INVEST,CL836246,INFY,B,307,224.45,68906.15
25-Nov-25,ALPHA_SEC,CL486328,HDFC,S,196,2401.07,470609.72
2025-11-23,BETA_INVEST,CL079025,LT,S,384,2451.98,941560.32
2025-11-22,DELTA_TRADES,CL927516,TATAMOTORS,B,327,2160.56,706503.12
22/11/2025,DELTA_TRADES,CL214827,RELIANCE,B,37,166.89,
21/11/2025,OMEGA_BROKING,CL196556,ICICIBANK,S,87,335.58,29195.46
11-22-2025,DELTA_TRADES,CL907727,LT,B,101,2292.8,231572.8
23-Nov-25,BETA_INVEST,CL461966,KOTAKBANK,B,165,1171.65,193322.25
11-26-2025,OMEGA_BROKING,CL502956,INFY,S,80,2312.81,185024.8
21-Nov-25,DELTA_TRADES,CL274073,HDFC,B,75,1727.5,129562.5
23/11/2025,BETA_INVEST,CL067176,HDFC,B,23,2093.22,48144.06
2025-11-29,DELTA_TRADES,CL019926,TATAMOTORS,B,279,1269.68,354240.72
26/11/2025,OMEGA_BROKING,CL678735,HDFC,B,367,1340.08,491809.36
23/11/2025,DELTA_TRADES,CL538535,AXISBANK,S,141,964.16,135946.56
11-26-2025,OMEGA_BROKING,CL257750,SBIN,S,272,2129.54,579234.88
23/11/2025,ALPHA_SEC,CL582075,AXISBANK,S,279,744.51,207718.29
20-Nov-25,OMEGA_BROKING,CL205194,AXISBANK,B,293,2427.41,711231.13
11-26-2025,ALPHA_SEC,CL228787,AXISBANK,B,110,490.95,54004.5
20-Nov-25,DELTA_TRADES,CL481856,HDFC,S,38,224.84,8543.92
20-Nov-25,OMEGA_BROKING,CL090685,HDFC,B,184,1926.45,354466.8
24/11/2025,BETA_INVEST,CL162344,ICICIBANK,B,54,548.83,29636.82
23/11/2025,DELTA_TRADES,CL638848,LT,S,71,975.48,69259.08
26-Nov-25,ALPHA_SEC,CL775944,ICICIBANK,B,87,1225.94,106656.78
23/11/2025,DELTA_TRADES,CL164015,KOTAKBANK,B,28,1242.67,34794.76
2025-11-22,OMEGA_BROKING,CL023558,TATAMOTORS,S,183,2206.84,262395.58
2025-11-22,OMEGA_BROKING,CL889653,SBIN,B,247,806.42,199185.74
2025-11-21,ALPHA_SEC,CL422546,INFY,B,272,1696.98,461578.56
23-Nov-25,OMEGA_BROKING,CL560390,RELIANCE,B,194,561.23,108878.62
11-21-2025,ALPHA_SEC,CL486786,ICICIBANK,B,138,210.72,29079.36
11-21-2025,DELTA_TRADES,CL967788,LT,B,19,1223.48,23246.12
11-25-2025,DELTA_TRADES,CL788032,AXISBANK,B,248,733.12,181813.76
23/11/2025,OMEGA_BROKING,CL519735,ICICIBANK,B,195,273.39,53311.05
26/11/2025,DELTA_TRADES,CL446145,INFY,B,383,2622.19,1004298.77
11-20-2025,OMEGA_BROKING,CL641516,ICICIBANK,B,159,357.99,56920.41
24/11/2025,DELTA_TRADES,CL594630,ITC,S,329,2099.93,690876.97
22-Nov-25,ALPHA_SEC,CL394499,AXISBANK,S,227,426.13,96731.51
21/11/2025,DELTA_TRADES,CL493167,ICICIBANK,S,291,1892.84,550816.44
25-Nov-25,BETA_INVEST,CL991871,SBIN,S,50,910.2,45510.0
26-Nov-25,OMEGA_BROKING,CL062896,AXISBANK,B,153,1072.34,164068.02
2025-11-25,ALPHA_SEC,CL406925,AXISBANK,B,94,1001.67,94156.98
24/11/2025,BETA_INVEST,CL317252,ITC,S,247,2418.06,597260.82
11-26-2025,ALPHA_SEC,CL305770,SBIN,B,299,2209.39,660607.61
23-Nov-25,BETA_INVEST,CL156952,ICICIBANK,B,29,663.53,19242.37
25/11/2025,OMEGA_BROKING,CL744855,AXISBANK,B,173,694.76,120193.48
22/11/2025,ALPHA_SEC,CL850616,KOTAKBANK,S,330,1834.84,605497.2
20/11/2025,OMEGA_BROKING,CL008429,TATAMOTORS,S,131,1917.59,251204.29
25/11/2025,BETA_INVEST,CL015829,INFY,S,85,164.83,
22-Nov-25,DELTA_TRADES,CL836138,ITC,B,201,1979.69,397917.69
26/11/2025,ALPHA_SEC,CL408799,HDFC,S,91,903.68,82234.88
2025-11-23,DELTA_TRADES,CL471203,HDFC,S,9,1441.33,12971.97
2025-11-26,ALPHA_SEC,CL916260,ITC,B,176,295.47,52002.72
25-Nov-25,OMEGA_BROKING,CL309640,HDFC,B,71,1740.7,123589.7
2025-11-20,OMEGA_BROKING,CL510755,SBIN,B,48,362.85,17416.8
2025-11-23,ALPHA_SEC,CL076671,ICICIBANK,S,25,855.43,21385.75
24/11/2025,DELTA_TRADES,CL389717,LT,S,189,2614.27,494097.03
24/11/2025,BETA_INVEST,CL335295,ICICIBANK,B,66,1263.0,83358.0
11-26-2025,DELTA_TRADES,CL118663,HDFC,S,18,2567.61,46216.98
11-26-2025,ALPHA_SEC,CL963602,INFY,B,224,1661.82,372247.68
11-26-2025,ALPHA_SEC,CL359728,KOTAKBANK,B,391,1983.98,775736.18
25/11/2025,ALPHA_SEC,CL279818,KOTAKBANK,B,303,1556.72,471686.16
26-Nov-25,BETA_INVEST,CL814086,TATAMOTORS,B,100,2489.23,132154.46
11-21-2025,OMEGA_BROKING,CL789070,LT,S,228,1723.12,392871.36
23/11/2025,ALPHA_SEC,CL733250,ITC,S,196,482.77,94622.92
2025-11-22,ALPHA_SEC,CL184914,RELIANCE,B,156,2774.17,432770.52
25-Nov-25,OMEGA_BROKING,CL750309,ICICIBANK,S,188,113.39,21317.32
26/11/2025,BETA_INVEST,CL570364,KOTAKBANK,B,163,2116.15,344932.45
22-Nov-25,DELTA_TRADES,CL438819,RELIANCE,S,393,1753.24,689023.32
25-Nov-25,DELTA_TRADES,CL399691,TATAMOTORS,S,152,279.27,42449.04
11-25-2025,BETA_INVEST,CL820079,RELIANCE,B,112,1123.93,125880.16
2025-11-23,OMEGA_BROKING,CL637229,INFY,S,140,1967.43,275440.2
11-24-2025,BETA_INVEST,CL630113,HDFC,B,389,595.43,231622.27
24/11/2025,DELTA_TRADES,CL908554,RELIANCE,S,47,1368.46,64317.62
20/11/2025,OMEGA_BROKING,CL934821,ITC,S,400,395.37,158148.0
23/11/2025,BETA_INVEST,CL946960,RELIANCE,B,379,2759.49,
11-24-2025,DELTA_TRADES,CL962397,AXISBANK,S,137,1062.42,145551.54
25-Nov-25,ALPHA_SEC,CL039722,ICICIBANK,B,197,1852.03,364849.91
25-Nov-25,DELTA_TRADES,CL191873,HDFC,B,268,2408.7,645531.6
22-Nov-25,BETA_INVEST,CL289788,TATAMOTORS,S,143,2198.34,314362.62
22-Nov-25,BETA_INVEST,CL184520,LT,S,243,2195.34,533467.62
11-26-2025,ALPHA_SEC,CL731107,ITC,S,31,1155.42,35818.02
2025-11-22,BETA_INVEST,CL312385,KOTAKBANK,S,191,2641.29,504486.39
11-21-2025,BETA_INVEST,CL392902,SBIN,B,240,355.01,85202.4
22/11/2025,BETA_INVEST,CL016329,ITC,B,330,646.9,213477.0
25/11/2025,DELTA_TRADES,CL140620,AXISBANK,S,303,360.2,109140.6
23/11/2025,DELTA_TRADES,CL427776,INFY,S,174,596.94,103867.56
11-21-2025,BETA_INVEST,CL233821,LT,S,109,309.14,33696.26
11-24-2025,OMEGA_BROKING,CL647821,HDFC,S,340,1666.45,566593.0
2025-11-25,DELTA_TRADES,CL357739,ICICIBANK,S,183,2000.85,366155.55
24-Nov-25,DELTA_TRADES,CL936416,KOTAKBANK,B,15,2733.57,41003.55
2025-11-23,ALPHA_SEC,CL397994,HDFC,S,212,1381.85,292952.2
23-Nov-25,BETA_INVEST,CL967620,ITC,S,191,618.9,118209.9
21-Nov-25,OMEGA_BROKING,CL765372,LT,B,190,2797.16,531460.4
11-22-2025,OMEGA_BROKING,CL705782,KOTAKBANK,S,336,552.43,185616.48
11-25-2025,DELTA_TRADES,CL635000,HDFC,B,385,307.88,118533.8
11-21-2025,ALPHA_SEC,CL133487,RELIANCE,B,11,1788.82,19677.02
2025-11-22,OMEGA_BROKING,CL382180,LT,B,141,1119.22,157810.02
2025-11-25,BETA_INVEST,CL163267,SBIN,S,263,284.28,74765.64
2025-11-23,BETA_INVEST,CL031199,ITC,B,301,770.39,231887.39
2025-11-21,OMEGA_BROKING,CL500282,INFY,B,241,925.01,222927.41
23-Nov-25,ALPHA_SEC,CL211864,TATAMOTORS,S,32,945.71,30262.72
11-24-2025,ALPHA_SEC,CL056690,TATAMOTORS,S,299,277.69,83029.31
25-Nov-25,BETA_INVEST,CL385806,ICICIBANK,B,28,1327.34,37165.52
25/11/2025,ALPHA_SEC,CL529030,INFY,B,247,1628.76,402303.72
20/11/2025,BETA_INVEST,CL942186,KOTAKBANK,S,364,2674.3,973445.2
26-Nov-25,OMEGA_BROKING,CL775270,LT,S,132,1685.97,222548.04
2025-11-20,DELTA_TRADES,CL097038,INFY,B,79,2570.17,203043.43
2025-11-20,BETA_INVEST,CL770468,HDFC,S,18,909.57,16372.26
21/11/2025,BETA_INVEST,CL159979,INFY,B,366,1650.76,604178.16
23/11/2025,BETA_INVEST,CL760366,KOTAKBANK,S,37,557.21,20616.77
2025-11-25,DELTA_TRADES,CL324014,TATAMOTORS,S,337,294.34,99192.58
11-20-2025,DELTA_TRADES,CL952707,AXISBANK,S,14,184.5,2583.0
2025-11-22,ALPHA_SEC,CL071726,RELIANCE,S,100,1615.59,161559.0
2025-11-20,DELTA_TRADES,CL335541,KOTAKBANK,B,82,1337.69,109690.58
26-Nov-25,OMEGA_BROKING,CL836512,LT,B,61,2445.77,149191.97
20-Nov-25,OMEGA_BROKING,CL724767,ITC,S,163,871.67,142082.21
11-21-2025,OMEGA_BROKING,CL053814,AXISBANK,S,8,2429.2,19433.6
2025-11-23,ALPHA_SEC,CL411738,RELIANCE,S,279,226.8,63277.2
2025-11-21,OMEGA_BROKING,CL860601,AXISBANK,S,47,1647.91,77451.77
2025-11-22,OMEGA_BROKING,CL891014,LT,B,298,1776.23,529316.54
11-21-2025,OMEGA_BROKING,CL143899,TATAMOTORS,B,310,2709.53,839954.3
11-26-2025,DELTA_TRADES,CL951497,LT,S,34,2775.37,94362.58
23-Nov-25,OMEGA_BROKING,CL650103,ITC,B,315,421.2,132678.0
2025-11-22,ALPHA_SEC,CL013559,TATAMOTORS,S,163,982.5,160147.5
26/11/2025,BETA_INVEST,CL334888,HDFC,B,158,507.82,80235.56
23/11/2025,DELTA_TRADES,CL351835,RELIANCE,B,154,2243.5,345499.0
11-24-2025,DELTA_TRADES,CL114638,TATAMOTORS,B,98,1002.21,98216.58
21-Nov-25,BETA_INVEST,CL231561,RELIANCE,B,25,179.63,4490.75
23/11/2025,ALPHA_SEC,CL938149,SBIN,S,244,2690.8,656555.2
2025-11-22,BETA_INVEST,CL381958,KOTAKBANK,S,192,1655.07,317773.44
24/11/2025,BETA_INVEST,CL873982,TATAMOTORS,S,68,2795.9,190121.2
11-21-2025,OMEGA_BROKING,CL710816,LT,S,155,2622.09,
24-Nov-25,BETA_INVEST,CL405429,SBIN,B,10,617.96,6179.6
2025-11-22,OMEGA_BROKING,CL080276,INFY,B,343,2343.56,803841.08
11-24-2025,OMEGA_BROKING,CL088486,LT,B,345,1653.32,570395.4
24-Nov-25,OMEGA_BROKING,CL007292,ITC,B,50,1222.01,61100.5
2025-11-24,OMEGA_BROKING,CL821845,AXISBANK,S,218,1995.03,434916.54
2025-11-24,OMEGA_BROKING,CL421162,INFY,S,52,1088.32,56592.64
11-21-2025,OMEGA_BROKING,CL814603,ITC,B,94,2013.75,189292.5
26/11/2025,DELTA_TRADES,CL877180,HDFC,B,293,1413.69,414211.17
25/11/2025,OMEGA_BROKING,CL865335,LT,S,353,1974.73,697079.69
26-Nov-25,BETA_INVEST,CL828470,SBIN,S,161,1864.14,300126.54
11-22-2025,BETA_INVEST,CL125614,LT,S,16,957.14,15314.24
23/11/2025,DELTA_TRADES,CL720039,TATAMOTORS,S,238,2534.44,603196.72
21/11/2025,ALPHA_SEC,CL629398,AXISBANK,B,55,890.08,48954.4
20/11/2025,BETA_INVEST,CL102434,ICICIBANK,B,217,1152.86,250170.62
22/11/2025,BETA_INVEST,CL740857,LT,S,65,2481.07,161269.55
21-Nov-25,ALPHA_SEC,CL571942,TATAMOTORS,S,201,1247.89,250825.89
24/11/2025,BETA_INVEST,CL496652,KOTAKBANK,S,356,1698.04,604502.24
11-23-2025,ALPHA_SEC,CL634874,KOTAKBANK,B,317,206.31,65400.27
2025-11-23,ALPHA_SEC,CL453607,INFY,B,44,666.75,29337.0
2025-11-26,DELTA_TRADES,CL066424,INFY,B,2,2792.03,5584.06
26/11/2025,OMEGA_BROKING,CL941809,ITC,S,380,1763.49,670126.2
2025-11-23,ALPHA_SEC,CL048891,ICICIBANK,B,386,559.17,215839.62
25-Nov-25,BETA_INVEST,CL964653,AXISBANK,B,285,1347.24,383963.4
22/11/2025,DELTA_TRADES,CL967232,KOTAKBANK,B,252,1563.69,394049.88
20-Nov-25,OMEGA_BROKING,CL494635,TATAMOTORS,S,231,1264.61,292124.91
24/11/2025,ALPHA_SEC,CL813859,INFY,S,290,2459.0,713110.0
11-26-2025,DELTA_TRADES,CL010793,SBIN,B,42,281.28,11813.76
2025-11-26,BETA_INVEST,CL943537,INFY,S,221,1768.62,390865.02
2025-11-21,BETA_INVEST,CL129157,ICICIBANK,B,396,2302.42,911758.32
23/11/2025,ALPHA_SEC,CL160459,RELIANCE,B,287,1565.94,
23/11/2025,DELTA_TRADES,CL737592,RELIANCE,S,278,2594.72,721332.16
21-Nov-25,BETA_INVEST,CL318584,KOTAKBANK,B,72,1567.5,112860.0
11-24-2025,OMEGA_BROKING,CL708560,ITC,B,224,1433.27,321052.48
23-Nov-25,OMEGA_BROKING,CL848406,AXISBANK,S,201,2208.07,443822.07
24-Nov-25,BETA_INVEST,CL902462,RELIANCE,S,174,1368.27,238078.98
2025-11-23,OMEGA_BROKING,CL159836,TATAMOTORS,B,28,230.61,6457.08
21-Nov-25,OMEGA_BROKING,CL549120,INFY,S,323,1523.82,492193.86
21/11/2025,BETA_INVEST,CL687384,RELIANCE,S,145,302.92,43923.4
11-26-2025,ALPHA_SEC,CL421549,KOTAKBANK,S,325,360.46,117149.5
11-26-2025,OMEGA_BROKING,CL191729,HDFC,B,191,2251.36,430009.76
20/11/2025,DELTA_TRADES,CL461017,INFY,S,142,1998.34,283764.28
