RecordDate,ExDate,ISIN,Symbol,CA_Type,Ratio,AmountPerShare,Source
2025-09-26,2025-09-25,INE001A01036,HDFC,MERGER,,,NSE
2025-10-02,2025-09-26,INE154A01025,ITC,DIVIDEND,,12.4,NSE
2025-10-25,2025-10-19,INE009A01021,INFY,MERGER,,,NSE
2025-12-17,2025-12-13,INE238A01026,AXISBANK,DIVIDEND,,11.62,NSE
2025-12-22,2025-12-19,INE009A01021,INFY,DIVIDEND,,2.66,BSE
2025-11-07,2025-10-29,INE237A01028,KOTAKBANK,RIGHTS,3:5,,RTA
2025-12-18,2025-12-09,INE018A01030,LT,DIVIDEND,,9.69,BSE
2025-10-14,2025-10-10,INE238A01026,AXISBANK,BONUS,3:5,,BSE
2025-10-28,2025-10-23,INE155A01022,TATAMOTORS,SPLIT,2:3,,RTA
2025-09-29,2025-09-24,INE018A01030,LT,BONUS,3:5,,RTA
2025-12-10,2025-12-03,INE062A01020,SBIN,SPLIT,3:5,,NSE
2025-10-29,2025-10-25,INE155A01022,TATAMOTORS,DIVIDEND,,16.79,BSE
2025-10-10,2025-10-06,INE009A01021,INFY,MERGER,,,NSE
2025-12-04,2025-11-24,INE062A01020,SBIN,RIGHTS,1:2,,NSE
2025-12-14,2025-12-06,INE018A01030,LT,MERGER,,,NSE
2025-11-27,2025-11-20,INE002A01018,RELIANCE,MERGER,,,NSE
2025-12-18,2025-12-15,INE154A01025,ITC,MERGER,,,NSE
2025-12-22,2025-12-14,INE237A01028,KOTAKBANK,BONUS,3:5,,RTA
2025-10-09,2025-09-29,INE001A01036,HDFC,SPLIT,1:2,,NSE
2025-10-14,2025-10-10,INE237A01028,KOTAKBANK,DIVIDEND,,13.2,NSE
2025-11-15,2025-11-05,INE002A01018,RELIANCE,RIGHTS,2:3,,RTA
2025-11-28,2025-11-25,INE155A01022,TATAMOTORS,SPLIT,3:5,,NSE
2025-11-19,2025-11-13,INE001A01036,HDFC,SPLIT,1:2,,BSE
2025-12-18,2025-12-16,INE018A01030,LT,DIVIDEND,,19.62,BSE
2025-10-10,2025-10-06,INE237A01028,KOTAKBANK,BONUS,1:1,,NSE
2025-12-06,2025-12-04,INE001A01036,HDFC,RIGHTS,1:1,,NSE
2025-12-07,2025-11-28,INE237A01028,KOTAKBANK,BONUS,1:2,,NSE
2025-11-14,2025-11-05,INE237A01028,KOTAKBANK,BONUS,2:3,,BSE
2025-11-01,2025-10-27,INE238A01026,AXISBANK,DIVIDEND,,10.32,BSE
2025-11-26,2025-11-16,INE238A01026,AXISBANK,SPLIT,2:3,,RTA
2025-11-26,2025-11-18,INE002A01018,RELIANCE,SPLIT,1:2,,RTA
2025-11-04,2025-10-27,INE090A01021,ICICIBANK,DIVIDEND,,17.58,RTA
2025-10-03,2025-09-27,INE009A01021,INFY,MERGER,,,RTA
2025-12-13,2025-12-09,INE238A01026,AXISBANK,DIVIDEND,,2.07,BSE
2025-11-19,2025-11-17,INE238A01026,AXISBANK,SPLIT,2:3,,BSE
2025-12-20,2025-12-18,INE001A01036,HDFC,DIVIDEND,,10.75,BSE
2025-09-30,2025-09-25,INE090A01021,ICICIBANK,RIGHTS,2:3,,BSE
2025-11-25,2025-11-15,INE090A01021,ICICIBANK,BONUS,1:2,,BSE
2025-10-26,2025-10-18,INE018A01030,LT,MERGER,,,RTA
2025-10-25,2025-10-19,INE154A01025,ITC,SPLIT,1:1,,BSE
2025-11-04,2025-10-26,INE237A01028,KOTAKBANK,DIVIDEND,,1.91,RTA
2025-12-20,2025-12-19,INE090A01021,ICICIBANK,SPLIT,3:5,,NSE
2025-11-10,2025-11-03,INE009A01021,INFY,RIGHTS,1:1,,RTA
2025-12-25,2025-12-22,INE154A01025,ITC,RIGHTS,2:3,,BSE
2025-11-14,2025-11-07,INE154A01025,ITC,DIVIDEND,,7.06,NSE
2025-12-07,2025-12-04,INE237A01028,KOTAKBANK,DIVIDEND,,3.44,BSE
2025-12-03,2025-11-24,INE154A01025,ITC,RIGHTS,1:2,,BSE
2025-11-02,2025-10-24,INE001A01036,HDFC,DIVIDEND,,14.5,NSE
2025-11-25,2025-11-19,INE001A01036,HDFC,DIVIDEND,,12.77,NSE
2025-12-09,2025-12-08,INE155A01022,TATAMOTORS,RIGHTS,1:2,,BSE
2025-10-23,2025-10-13,INE155A01022,TATAMOTORS,SPLIT,1:2,,NSE
2025-10-04,2025-09-27,INE002A01018,RELIANCE,SPLIT,2:3,,NSE
2025-11-22,2025-11-15,INE154A01025,ITC,MERGER,,,NSE
2025-12-10,2025-12-05,INE001A01036,HDFC,DIVIDEND,,9.26,NSE
2025-10-14,2025-10-08,INE155A01022,TATAMOTORS,RIGHTS,2:3,,NSE
2025-11-21,2025-11-11,INE002A01018,RELIANCE,SPLIT,2:3,,RTA
2025-11-05,2025-10-29,INE001A01036,HDFC,DIVIDEND,,6.58,NSE
2025-10-26,2025-10-16,INE155A01022,TATAMOTORS,MERGER,,,BSE
2025-09-26,2025-09-19,INE154A01025,ITC,SPLIT,3:5,,BSE
2025-10-27,2025-10-22,INE090A01021,ICICIBANK,RIGHTS,2:3,,RTA
2025-10-19,2025-10-10,INE062A01020,SBIN,DIVIDEND,,3.37,NSE
2025-11-15,2025-11-08,INE155A01022,TATAMOTORS,MERGER,,,BSE
2025-11-03,2025-10-25,INE062A01020,SBIN,MERGER,,,BSE
2025-11-12,2025-11-09,INE062A01020,SBIN,SPLIT,2:3,,BSE
2025-10-08,2025-10-02,INE154A01025,ITC,BONUS,1:2,,BSE
2025-12-26,2025-12-16,INE001A01036,HDFC,MERGER,,,NSE
2025-12-26,2025-12-23,INE062A01020,SBIN,BONUS,1:2,,RTA
2025-10-03,2025-09-28,INE238A01026,AXISBANK,MERGER,,,RTA
2025-11-24,2025-11-20,INE009A01021,INFY,MERGER,,,NSE
2025-11-22,2025-11-19,INE237A01028,KOTAKBANK,SPLIT,2:3,,BSE
2025-10-22,2025-10-13,INE001A01036,HDFC,DIVIDEND,,13.7,RTA
2025-11-04,2025-10-30,INE009A01021,INFY,BONUS,1:2,,NSE
2025-10-06,2025-09-26,INE062A01020,SBIN,RIGHTS,3:5,,NSE
2025-09-29,2025-09-25,INE090A01021,ICICIBANK,DIVIDEND,,18.56,BSE
2025-10-23,2025-10-13,INE018A01030,LT,DIVIDEND,,3.01,BSE
2025-10-23,2025-10-20,INE090A01021,ICICIBANK,MERGER,,,NSE
2025-10-25,2025-10-18,INE237A01028,KOTAKBANK,BONUS,1:1,,BSE
2025-10-25,2025-10-23,INE154A01025,ITC,RIGHTS,3:5,,NSE
2025-12-09,2025-11-29,INE154A01025,ITC,SPLIT,1:2,,RTA
2025-11-09,2025-10-31,INE001A01036,HDFC,RIGHTS,1:1,,RTA
2025-12-06,2025-11-30,INE090A01021,ICICIBANK,SPLIT,3:5,,BSE
2025-12-24,2025-12-14,INE238A01026,AXISBANK,RIGHTS,1:2,,RTA
2025-10-14,2025-10-13,INE155A01022,TATAMOTORS,RIGHTS,1:2,,RTA
2025-11-22,2025-11-15,INE001A01036,HDFC,SPLIT,2:3,,NSE
2025-10-19,2025-10-14,INE009A01021,INFY,DIVIDEND,,2.86,BSE
2025-11-11,2025-11-01,INE237A01028,KOTAKBANK,DIVIDEND,,19.77,RTA
2025-12-17,2025-12-09,INE018A01030,LT,MERGER,,,NSE
2025-11-07,2025-10-31,INE090A01021,ICICIBANK,DIVIDEND,,7.94,BSE
2025-11-02,2025-10-29,INE009A01021,INFY,MERGER,,,NSE
2025-11-19,2025-11-13,INE001A01036,HDFC,MERGER,,,RTA
2025-09-30,2025-09-24,INE090A01021,ICICIBANK,DIVIDEND,,17.89,BSE
2025-12-20,2025-12-10,INE001A01036,HDFC,DIVIDEND,,10.9,BSE
