TradeDate,Broker,ClientCode,Symbol,Side,Qty,Price,GrossAmount,ExchangeTradeID
2025-11-22,ALPHA_SEC,CL105245,TATAMOTORS,SELL,333,269.63,89786.79,EX20251122000097
2025-11-29,OMEGA_BROKING,CL501041,ITC,BUY,467,2890.04,1349648.68,EX20251129000098
2025-11-20,ALPHA_SEC,CL064487,ICICIBANK,BUY,309,1197.27,369956.43,EX20251120000099
2025-11-26,OMEGA_BROKING,CL097314,HDFC,BUY,94,669.71,62952.74,EX20251126000100
2025-11-20,BETA_INVEST,CL546685,RELIANCE,BUY,29,203.84,5911.36,EX20251120000101
2025-11-24,OMEGA_BROKING,CL997964,ICICIBANK,SELL,101,1501.32,151633.32,EX20251124000102
2025-11-21,DELTA_TRADES,CL190734,ICICIBANK,BUY,139,1423.76,197902.64,EX20251121000103
2025-11-20,ALPHA_SEC,CL541171,INFY,SELL,285,336.66,95948.1,EX20251120000104
2025-11-21,DELTA_TRADES,CL913397,LT,SELL,413,1389.05,573677.65,EX20251121000105
2025-11-23,BETA_INVEST,CL532471,LT,SELL,446,1451.67,647444.82,EX20251123000106
2025-11-25,BETA_INVEST,CL402075,ICICIBANK,SELL,319,2368.33,755497.27,EX20251125000107
2025-11-26,BETA_INVEST,CL666275,AXISBANK,BUY,344,2110.51,726015.44,EX20251126000108
2025-11-20,ALPHA_SEC,CL915195,AXISBANK,SELL,459,2138.48,981562.32,EX20251120000109
2025-11-23,ALPHA_SEC,CL535307,ITC,SELL,54,567.86,30664.44,EX20251123000110
2025-11-25,BETA_INVEST,CL550274,LT,BUY,400,2792.31,1116924.0,EX20251125000111
2025-11-26,DELTA_TRADES,CL731770,ICICIBANK,SELL,343,399.07,136881.01,EX20251126000112
2025-11-22,OMEGA_BROKING,CL413780,LT,SELL,404,424.21,171380.84,EX20251122000113
2025-11-26,ALPHA_SEC,CL262901,INFY,SELL,403,1939.37,781566.11,EX20251126000114
2025-11-22,ALPHA_SEC,CL679722,HDFC,SELL,371,1386.19,514276.49,EX20251122000115
2025-11-25,DELTA_TRADES,CL834103,AXISBANK,SELL,25,2174.71,54367.75,EX20251125000116
2025-11-26,DELTA_TRADES,CL746022,HDFC,BUY,38,2712.21,103063.98,EX20251126000117
2025-11-23,DELTA_TRADES,CL426829,TATAMOTORS,BUY,73,2708.41,197713.93,EX20251123000118
2025-11-21,OMEGA_BROKING,CL281008,ICICIBANK,SELL,242,593.66,143665.72,EX20251121000119
2025-11-24,OMEGA_BROKING,CL229825,LT,SELL,500,207.06,103530.0,EX20251124000120
2025-11-24,ALPHA_SEC,CL850035,LT,SELL,225,1933.25,434981.25,EX20251124000121
2025-11-25,DELTA_TRADES,CL500515,HDFC,BUY,38,1359.01,51642.38,EX20251125000122
2025-11-26,ALPHA_SEC,CL249619,ICICIBANK,BUY,322,400.26,128883.72,EX20251126000123
2025-11-23,OMEGA_BROKING,CL843894,INFY,SELL,324,1134.76,367662.24,EX20251123000124
2025-11-21,BETA_INVEST,CL882919,KOTAKBANK,SELL,222,1333.27,295985.94,EX20251121000125
2025-11-26,DELTA_TRADES,CL894849,AXISBANK,BUY,223,1882.2,419730.6,EX20251126000126
2025-11-29,BETA_INVEST,CL724345,HDFC,SELL,454,449.3,203982.2,EX20251129000127
2025-11-24,DELTA_TRADES,CL366687,SBIN,SELL,426,1655.48,705234.48,EX20251124000128
2025-11-26,OMEGA_BROKING,CL447773,HDFC,BUY,414,2741.06,1134798.84,EX20251126000129
2025-11-22,DELTA_TRADES,CL987161,RELIANCE,SELL,436,1184.25,516333.0,EX20251122000130
2025-11-24,ALPHA_SEC,CL243838,KOTAKBANK,BUY,53,1494.95,79232.35,EX20251124000131
2025-11-21,OMEGA_BROKING,CL246659,SBIN,SELL,100,2453.51,245351.0,EX20251121000132
2025-11-24,BETA_INVEST,CL631271,ICICIBANK,BUY,418,1602.69,669924.42,EX20251124000133
2025-11-23,DELTA_TRADES,CL764831,LT,BUY,101,620.57,62677.57,EX20251123000134
2025-11-20,OMEGA_BROKING,CL819234,AXISBANK,BUY,136,1658.9,225610.4,EX20251120000135
2025-11-25,ALPHA_SEC,CL718490,ITC,BUY,100,1432.9,143290.0,EX20251125000136
2025-11-23,DELTA_TRADES,CL460993,AXISBANK,BUY,352,225.92,79523.84,EX20251123000137
2025-11-23,ALPHA_SEC,CL650658,INFY,BUY,152,1474.48,224120.96,EX20251123000138
2025-11-22,DELTA_TRADES,CL761154,AXISBANK,SELL,389,1646.46,640472.94,EX20251122000139
2025-11-22,ALPHA_SEC,CL089090,ITC,SELL,109,194.55,21205.95,EX20251122000140
2025-11-21,ALPHA_SEC,CL917537,INFY,SELL,224,652.85,146238.4,EX20251121000141
2025-11-26,DELTA_TRADES,CL452746,SBIN,SELL,491,914.09,448818.19,EX20251126000142
2025-11-23,ALPHA_SEC,CL989384,ITC,SELL,280,1951.33,546372.4,EX20251123000143
2025-11-20,OMEGA_BROKING,CL838241,ICICIBANK,BUY,25,1932.83,48320.75,EX20251120000144
2025-11-21,DELTA_TRADES,CL461923,INFY,SELL,118,2155.15,254307.7,EX20251121000145
2025-11-20,OMEGA_BROKING,CL633333,ICICIBANK,BUY,431,593.13,255639.03,EX20251120000146
2025-11-26,ALPHA_SEC,CL678068,TATAMOTORS,SELL,327,993.6,324907.2,EX20251126000147
2025-11-20,OMEGA_BROKING,CL620318,ICICIBANK,SELL,114,2013.32,229518.48,EX20251120000148
2025-11-20,OMEGA_BROKING,CL666019,HDFC,SELL,382,2169.65,828806.3,EX20251120000149
2025-11-26,ALPHA_SEC,CL646416,ICICIBANK,SELL,305,1100.69,335710.45,EX20251126000150
2025-11-20,ALPHA_SEC,CL666457,ITC,BUY,312,596.83,186210.96,EX20251120000151
2025-11-22,OMEGA_BROKING,CL938819,ITC,SELL,137,2160.75,296022.75,EX20251122000152
2025-11-20,ALPHA_SEC,CL994403,ITC,SELL,354,242.07,85692.78,EX20251120000153
2025-11-21,DELTA_TRADES,CL890527,TATAMOTORS,SELL,345,2040.67,704031.15,EX20251121000154
2025-11-21,BETA_INVEST,CL163400,LT,SELL,100,2645.78,264578.0,EX20251121000155
2025-11-22,BETA_INVEST,CL327432,AXISBANK,BUY,55,2485.2,136686.0,EX20251122000156
2025-11-21,DELTA_TRADES,CL309378,ITC,SELL,171,867.94,148417.74,EX20251121000157
2025-11-22,DELTA_TRADES,CL034801,ICICIBANK,BUY,317,1469.92,465964.64,EX20251122000158
2025-11-21,BETA_INVEST,CL538509,ICICIBANK,SELL,134,609.37,81655.58,EX20251121000159
2025-11-21,BETA_INVEST,CL351676,ICICIBANK,SELL,347,307.44,106681.68,EX20251121000160
2025-11-24,BETA_INVEST,CL333322,SBIN,SELL,211,1684.51,355431.61,EX20251124000161
2025-11-21,DELTA_TRADES,CL187196,INFY,BUY,27,1174.6,31714.2,EX20251121000162
2025-11-23,DELTA_TRADES,CL097836,TATAMOTORS,SELL,411,2841.73,1167951.03,EX20251123000163
2025-11-23,DELTA_TRADES,CL583301,INFY,BUY,255,1206.1,307555.5,EX20251123000164
2025-11-21,OMEGA_BROKING,CL335831,ICICIBANK,SELL,264,1747.22,461266.08,EX20251121000165
2025-11-20,DELTA_TRADES,CL140987,RELIANCE,BUY,424,1593.79,675766.96,EX20251120000166
2025-11-24,ALPHA_SEC,CL236308,SBIN,BUY,491,554.58,272298.78,EX20251124000167
2025-11-21,DELTA_TRADES,CL750766,RELIANCE,SELL,188,888.59,167054.92,EX20251121000168
2025-11-20,DELTA_TRADES,CL864779,RELIANCE,BUY,83,801.51,66525.33,EX20251120000169
2025-11-21,DELTA_TRADES,CL672796,TATAMOTORS,SELL,328,1645.53,539733.84,EX20251121000170
2025-11-26,DELTA_TRADES,CL975529,SBIN,SELL,499,1769.92,883190.08,EX20251126000171
2025-11-24,OMEGA_BROKING,CL937562,LT,SELL,181,2693.86,487588.66,EX20251124000172
2025-11-25,OMEGA_BROKING,CL315074,INFY,BUY,211,1021.94,215629.34,EX20251125000173
2025-11-26,DELTA_TRADES,CL312732,ICICIBANK,SELL,72,722.62,52028.64,EX20251126000174
2025-11-20,BETA_INVEST,CL736139,ITC,SELL,119,2584.03,307499.57,EX20251120000175
2025-11-23,ALPHA_SEC,CL809547,LT,BUY,120,695.56,83467.2,EX20251123000176
2025-11-26,OMEGA_BROKING,CL076940,TATAMOTORS,SELL,164,1841.94,302078.16,EX20251126000177
2025-11-23,BETA_INVEST,CL308497,RELIANCE,SELL,54,1840.03,99361.62,EX20251123000178
2025-11-23,ALPHA_SEC,CL058023,ICICIBANK,BUY,452,2690.39,1216056.28,EX20251123000179
2025-11-25,BETA_INVEST,CL638359,LT,BUY,441,2199.79,970107.39,EX20251125000180
2025-11-21,DELTA_TRADES,CL914556,AXISBANK,BUY,163,382.9,62412.7,EX20251121000181
2025-11-23,BETA_INVEST,CL728199,ITC,BUY,483,1115.39,538733.37,EX20251123000182
2025-11-26,BETA_INVEST,CL798513,INFY,BUY,379,620.7,235245.3,EX20251126000183
2025-11-20,OMEGA_BROKING,CL364696,ICICIBANK,SELL,395,1116.53,441029.35,EX20251120000184
2025-11-26,OMEGA_BROKING,CL957046,AXISBANK,BUY,495,1832.82,907245.9,EX20251126000185
2025-11-25,DELTA_TRADES,CL833073,AXISBANK,BUY,127,132.38,16812.26,EX20251125000186
2025-11-20,DELTA_TRADES,CL756648,AXISBANK,BUY,431,889.92,383555.52,EX20251120000187
2025-11-22,ALPHA_SEC,CL875910,SBIN,SELL,229,1885.97,431887.13,EX20251122000188
2025-11-26,OMEGA_BROKING,CL365123,INFY,BUY,214,2464.49,527400.86,EX20251126000189
2025-11-22,OMEGA_BROKING,CL702974,AXISBANK,BUY,220,2314.9,509278.0,EX20251122000190
2025-11-20,BETA_INVEST,CL522183,HDFC,BUY,263,484.41,127399.83,EX20251120000191
2025-11-22,ALPHA_SEC,CL539220,ITC,BUY,273,792.0,216216.0,EX20251122000192
2025-11-22,ALPHA_SEC,CL625196,ICICIBANK,SELL,263,2917.83,767389.29,EX20251122000193
2025-11-24,ALPHA_SEC,CL858323,INFY,SELL,196,111.12,21779.52,EX20251124000194
2025-11-22,ALPHA_SEC,CL961625,INFY,BUY,445,2622.28,1166914.6,EX20251122000195
2025-11-20,BETA_INVEST,CL490515,HDFC,BUY,413,830.46,342979.98,EX20251120000196
2025-11-20,BETA_INVEST,CL068772,HDFC,SELL,202,374.66,75681.32,EX20251120000197
2025-11-29,BETA_INVEST,CL852461,RELIANCE,BUY,381,2190.95,834751.95,EX20251129000198
2025-11-26,ALPHA_SEC,CL786766,AXISBANK,BUY,201,2392.1,480812.1,EX20251126000199
2025-11-25,ALPHA_SEC,CL358410,KOTAKBANK,SELL,140,880.82,123314.8,EX20251125000200
2025-11-26,ALPHA_SEC,CL221965,LT,SELL,119,1461.18,173880.42,EX20251126000201
2025-11-23,OMEGA_BROKING,CL156887,AXISBANK,SELL,58,2717.93,157639.94,EX20251123000202
2025-11-20,DELTA_TRADES,CL020381,ITC,SELL,171,2882.1,492839.1,EX20251120000203
2025-11-20,BETA_INVEST,CL950164,RELIANCE,BUY,388,437.13,169606.44,EX20251120000204
2025-11-22,ALPHA_SEC,CL174801,AXISBANK,BUY,471,1083.42,510290.82,EX20251122000205
2025-11-25,ALPHA_SEC,CL425501,SBIN,BUY,185,1214.8,224738.0,EX20251125000206
2025-11-24,OMEGA_BROKING,CL119339,SBIN,BUY,298,1839.77,548251.46,EX20251124000207
2025-11-20,ALPHA_SEC,CL529382,SBIN,SELL,133,637.21,84748.93,EX20251120000208
2025-11-22,ALPHA_SEC,CL085752,ICICIBANK,SELL,227,2817.24,639513.48,EX20251122000209
2025-11-29,OMEGA_BROKING,CL348950,ITC,BUY,364,911.09,331636.76,EX20251129000210
2025-11-22,DELTA_TRADES,CL997543,LT,BUY,311,780.14,242623.54,EX20251122000211
2025-11-20,DELTA_TRADES,CL062944,INFY,BUY,143,2359.11,337352.73,EX20251120000212
2025-11-24,DELTA_TRADES,CL448270,TATAMOTORS,SELL,373,189.26,70593.98,EX20251124000213
2025-11-22,BETA_INVEST,CL347137,AXISBANK,BUY,360,1140.24,410486.4,EX20251122000214
2025-11-25,BETA_INVEST,CL982131,HDFC,BUY,115,1717.48,197510.2,EX20251125000215
2025-11-24,DELTA_TRADES,CL661096,RELIANCE,SELL,125,2742.29,342786.25,EX20251124000216
2025-11-25,BETA_INVEST,CL185755,SBIN,SELL,72,917.79,66080.88,EX20251125000217
2025-11-29,DELTA_TRADES,CL282165,AXISBANK,SELL,414,2963.39,1226843.46,EX20251129000218
2025-11-22,OMEGA_BROKING,CL961310,ITC,SELL,272,1351.68,367656.96,EX20251122000219
2025-11-22,BETA_INVEST,CL521745,SBIN,SELL,73,1111.87,81166.51,EX20251122000220
2025-11-26,DELTA_TRADES,CL100752,KOTAKBANK,SELL,411,114.19,46932.09,EX20251126000221
2025-11-22,BETA_INVEST,CL162911,AXISBANK,SELL,355,2768.01,982643.55,EX20251122000222
2025-11-20,BETA_INVEST,CL669171,RELIANCE,SELL,292,2585.86,755071.12,EX20251120000223
2025-11-21,BETA_INVEST,CL880174,INFY,SELL,485,-452.82,-219617.7,EX20251121000224
2025-11-25,BETA_INVEST,CL689214,HDFC,BUY,211,180.07,37994.77,EX20251125000225
2025-11-23,OMEGA_BROKING,CL561865,LT,SELL,100,2733.32,273332.0,EX20251123000226
2025-11-24,DELTA_TRADES,CL597468,HDFC,BUY,64,834.44,53404.16,EX20251124000227
2025-11-20,OMEGA_BROKING,CL745691,RELIANCE,SELL,401,2940.47,1179128.47,EX20251120000228
2025-11-23,OMEGA_BROKING,CL803365,SBIN,SELL,479,1990.5,953449.5,EX20251123000229
2025-11-23,ALPHA_SEC,CL598131,LT,SELL,63,2688.97,169405.11,EX20251123000230
2025-11-24,OMEGA_BROKING,CL568856,HDFC,SELL,303,311.26,94311.78,EX20251124000231
2025-11-24,DELTA_TRADES,CL139090,AXISBANK,BUY,154,1654.73,254828.42,EX20251124000232
2025-11-21,BETA_INVEST,CL388217,SBIN,BUY,79,1553.46,122723.34,EX20251121000233
2025-11-26,DELTA_TRADES,CL422570,ITC,SELL,205,2556.02,523984.1,EX20251126000234
2025-11-21,DELTA_TRADES,CL082450,AXISBANK,SELL,424,2439.99,1034555.76,EX20251121000235
2025-11-21,OMEGA_BROKING,CL649361,ICICIBANK,SELL,207,2870.21,594133.47,EX20251121000236
2025-11-29,OMEGA_BROKING,CL087229,ICICIBANK,BUY,301,911.46,274349.46,EX20251129000237
2025-11-29,BETA_INVEST,CL366108,TATAMOTORS,BUY,177,2214.64,391991.28,EX20251129000238
2025-11-26,ALPHA_SEC,CL298625,TATAMOTORS,SELL,4,483.5,1934.0,EX20251126000239
2025-11-20,ALPHA_SEC,CL475599,HDFC,SELL,286,924.34,264361.24,EX20251120000240
2025-11-24,BETA_INVEST,CL964037,INFY,BUY,345,1339.61,462165.45,EX20251124000241
2025-11-24,ALPHA_SEC,CL716642,HDFC,SELL,139,2598.6,361205.4,EX20251124000242
2025-11-21,ALPHA_SEC,CL263808,HDFC,BUY,414,1858.88,769576.32,EX20251121000243
2025-11-26,DELTA_TRADES,CL448453,KOTAKBANK,SELL,173,821.48,142116.04,EX20251126000244
2025-11-22,ALPHA_SEC,CL782260,ICICIBANK,SELL,346,2900.91,1003714.86,EX20251122000245
2025-11-26,OMEGA_BROKING,CL437118,ICICIBANK,SELL,181,2835.27,513183.87,EX20251126000246
2025-11-24,BETA_INVEST,CL596955,LT,BUY,202,2796.46,564884.92,EX20251124000247
2025-11-22,OMEGA_BROKING,CL297960,SBIN,BUY,485,480.83,233202.55,EX20251122000248
2025-11-23,ALPHA_SEC,CL162041,TATAMOTORS,BUY,327,1491.89,487848.03,EX20251123000249
2025-11-20,BETA_INVEST,CL556598,ICICIBANK,BUY,229,2776.4,635795.6,EX20251120000250
2025-11-25,ALPHA_SEC,CL163265,ITC,BUY,474,225.6,106934.4,EX20251125000251
2025-11-23,DELTA_TRADES,CL247747,LT,SELL,388,2671.99,1036732.12,EX20251123000252
2025-11-23,OMEGA_BROKING,CL449151,INFY,BUY,234,565.06,132224.04,EX20251123000253
2025-11-26,BETA_INVEST,CL532170,LT,BUY,329,602.55,198238.95,EX20251126000254
2025-11-20,OMEGA_BROKING,CL594567,INFY,BUY,283,329.35,93206.05,EX20251120000255
2025-11-20,OMEGA_BROKING,CL606547,TATAMOTORS,BUY,339,162.39,55050.21,EX20251120000256
2025-11-26,ALPHA_SEC,CL601211,TATAMOTORS,BUY,117,1290.93,151038.81,EX20251126000257
2025-11-26,BETA_INVEST,CL062715,SBIN,BUY,365,1883.68,687543.2,EX20251126000258
2025-11-26,OMEGA_BROKING,CL096508,KOTAKBANK,BUY,330,534.95,176533.5,EX20251126000259
2025-11-25,ALPHA_SEC,CL425235,AXISBANK,BUY,319,2897.38,924264.22,EX20251125000260
2025-11-22,OMEGA_BROKING,CL555578,RELIANCE,BUY,152,636.25,96710.0,EX20251122000261
2025-11-24,ALPHA_SEC,CL394311,HDFC,BUY,78,1159.34,90428.52,EX20251124000262
2025-11-20,BETA_INVEST,CL783816,HDFC,SELL,402,1116.75,448933.5,EX20251120000263
2025-11-24,DELTA_TRADES,CL375448,TATAMOTORS,BUY,440,2947.06,1296706.4,EX20251124000264
2025-11-24,BETA_INVEST,CL979267,LT,SELL,373,1910.36,712564.28,EX20251124000265
2025-11-20,BETA_INVEST,CL522191,AXISBANK,BUY,382,670.85,256264.7,EX20251120000266
2025-11-24,ALPHA_SEC,CL599514,HDFC,SELL,199,1742.82,346821.18,EX20251124000267
