TxnDate,ValueDate,Narration,Amount,RefNo
2025-11-22,2025-11-23,IMPS,196099,LED-000042
2025-11-18,2025-11-20,ATM WDL,-172873,LED-000043
2025-11-21,2025-11-23,ATM WDL,195475,LED-000044
2025-11-26,,AUTO SWEEP,186076,LED-000045
2025-11-21,2025-11-21,,-65088,LED-000046
2025-11-19,2025-11-20,UPI,177032,LED-000047
2025-11-23,2025-11-24,ATM WDL,159397,LED-000048
2025-11-20,,BROKER PAYIN,-151989,LED-000049
2025-11-27,,BROKER PAYOUT,164345,LED-000050
2025-11-22,2025-11-23,IMPS,-71832,LED-000051
2025-11-27,2025-11-29,BROKER PAYOUT,102667,LED-000052
2025-11-20,2025-11-22,ATM WDL,53830,LED-000053
2025-11-25,2025-11-25,IMPS,-57789,LED-000054
2025-11-19,2025-11-21,AUTO SWEEP,82905,LED-000055
2025-11-18,2025-11-18,BROKER PAYOUT,189580,LED-000056
2025-11-29,2025-12-01,UPI,-188680,LED-000057
2025-11-28,2025-11-29,IMPS,-87792,LED-000058
2025-11-21,2025-11-21,IMPS,144772,LED-000059
2025-11-19,2025-11-20,IMPS,-62778,LED-000060
2025-11-22,2025-11-23,ATM WDL,4546,LED-000061
2025-11-27,,IMPS,-175856,LED-000062
2025-12-01,2025-12-03,BROKER PAYOUT,-74503,LED-000063
2025-11-21,2025-11-23,ATM WDL,-183187,LED-000064
2025-11-25,2025-11-26,UPI,-141598,LED-000065
2025-11-27,2025-11-29,UPI,-162282,LED-000066
2025-11-25,2025-11-27,ATM WDL,-122465,LED-000067
2025-11-25,2025-11-26,ATM WDL,-128455,LED-000068
2025-11-20,2025-11-21,BROKER PAYOUT,-160395,LED-000069
2025-11-25,2025-11-25,ATM WDL,-7830,LED-000070
2025-11-17,2025-11-17,ATM WDL,-67578,LED-000071
2025-11-27,,AUTO SWEEP,3344,LED-000072
2025-11-17,2025-11-18,,-69127,LED-000073
2025-12-01,2025-12-01,AUTO SWEEP,7803,LED-000074
2025-11-27,2025-11-27,ATM WDL,-3374,LED-000075
2025-12-01,2025-12-03,BROKER PAYIN,-98926,LED-000076
2025-11-27,2025-11-27,UPI,-137340,LED-000077
2025-11-19,2025-11-19,AUTO SWEEP,141773,LED-000078
2025-11-21,2025-11-23,ATM WDL,-24889,LED-000079
2025-11-26,2025-11-28,IMPS,-132565,LED-000080
2025-12-01,2025-12-02,UPI,-182161,LED-000081
2025-11-23,2025-11-23,BROKER PAYOUT,190254,LED-000082
2025-11-27,2025-11-29,UPI,-74705,LED-000083
2025-11-23,2025-11-23,AUTO SWEEP,-8723,LED-000084
2025-11-24,2025-11-26,BROKER PAYOUT,193638,LED-000085
2025-11-22,2025-11-23,UPI,120040,LED-000086
2025-11-30,,,-147439,LED-000087
2025-11-21,2025-11-22,BROKER PAYOUT,114948,LED-000088
2025-11-19,2025-11-21,UPI,63657,LED-000089
2025-12-01,2025-12-01,BROKER PAYOUT,189911,LED-000090
2025-11-26,2025-11-28,IMPS,-41830,LED-000091
2025-11-30,2025-11-30,IMPS,198067,LED-000092
2025-11-26,2025-11-27,BROKER PAYOUT,107425,LED-000093
2025-11-21,2025-11-22,BROKER PAYIN,68549,LED-000094
2025-11-27,2025-11-28,AUTO SWEEP,99523,LED-000095
2025-11-20,2025-11-20,BROKER PAYOUT,-57152,LED-000096
2025-11-19,2025-11-19,AUTO SWEEP,167527,LED-000097
2025-11-28,2025-11-28,BROKER PAYOUT,-42789,LED-000098
2025-11-25,,ATM WDL,-54921,LED-000099
2025-11-24,2025-11-25,,138963,LED-000100
2025-12-01,2025-12-01,UPI,-55150,LED-000101
2025-11-23,2025-11-25,,-126721,LED-000102
2025-11-25,2025-11-26,ATM WDL,122239,LED-000103
2025-11-27,2025-11-27,SUSPICIOUS BULK WITHDRAWAL,-1744435,LED-000104
2025-11-19,2025-11-19,BROKER PAYIN,-43565,LED-000105
2025-11-26,2025-11-28,IMPS,184219,LED-000106
2025-11-25,2025-11-25,SUSPICIOUS BULK WITHDRAWAL,-718921,LED-000107
2025-11-19,2025-11-19,ATM WDL,-173809,LED-000108
2025-11-24,2025-11-24,AUTO SWEEP,-67997,LED-000109
2025-11-18,,UPI,-14653,LED-000110
2025-11-29,2025-11-29,IMPS,177877,LED-000111
2025-11-23,2025-11-23,BROKER PAYOUT,-92868,LED-000112
2025-11-19,2025-11-19,ATM WDL,93311,LED-000113
2025-11-22,,BROKER PAYOUT,101481,LED-000114
2025-11-26,2025-11-26,BROKER PAYOUT,172090,LED-000115
2025-11-19,2025-11-19,UPI,-169073,LED-000116
2025-11-25,2025-11-25,BROKER PAYOUT,151477,LED-000117
2025-11-29,2025-11-29,SUSPICIOUS BULK WITHDRAWAL,-1723427,LED-000118
2025-11-25,2025-11-27,ATM WDL,61663,LED-000119
2025-11-22,2025-11-24,BROKER PAYIN,-171308,LED-000120
2025-11-30,2025-12-01,BROKER PAYIN,-134667,LED-000121
2025-11-18,2025-11-18,BROKER PAYOUT,195544,LED-000122
2025-11-18,2025-11-20,,163254,LED-000123
2025-11-21,2025-11-21,IMPS,-175531,LED-000124
2025-11-18,2025-11-19,IMPS,-192270,LED-000125
2025-11-26,2025-11-28,BROKER PAYOUT,-143772,LED-000126
2025-12-01,2025-12-01,UPI,-118232,LED-000127
2025-11-30,,AUTO SWEEP,-54172,LED-000128
2025-11-25,2025-11-25,IMPS,120134,LED-000129
2025-11-22,2025-11-24,BROKER PAYOUT,-51068,LED-000130
2025-11-30,2025-12-02,IMPS,52604,LED-000131
2025-11-18,,BROKER PAYIN,89856,LED-000132
2025-11-27,,UPI,174817,LED-000133
2025-11-24,2025-11-24,IMPS,153555,LED-000134
2025-12-01,2025-12-01,AUTO SWEEP,180009,LED-000135
2025-11-19,2025-11-20,ATM WDL,-59238,LED-000136
2025-11-25,,UPI,67026,LED-000137
2025-11-25,2025-11-25,IMPS,-154730,LED-000138
2025-12-01,2025-12-01,ATM WDL,-35706,LED-000139
2025-11-23,2025-11-25,UPI,9199,LED-000140
2025-11-27,2025-11-28,AUTO SWEEP,19819,LED-000141
2025-11-22,2025-11-22,UPI,-88033,LED-000142
2025-11-19,2025-11-19,BROKER PAYIN,15571,LED-000143
2025-11-19,2025-11-19,AUTO SWEEP,-46140,LED-000144
2025-11-20,2025-11-20,ATM WDL,27352,LED-000145
2025-11-30,2025-11-30,UPI,161489,LED-000146
2025-11-20,2025-11-21,UPI,43635,LED-000147
2025-11-27,2025-11-29,BROKER PAYIN,-174598,LED-000148
2025-12-01,2025-12-03,UPI,-135,LED-000149
2025-11-30,2025-11-30,ATM WDL,16701,LED-000150
2025-11-17,2025-11-18,UPI,-186990,LED-000151
2025-11-18,2025-11-19,BROKER PAYIN,-61614,LED-000152
2025-11-29,2025-12-01,BROKER PAYIN,-114129,LED-000153
2025-11-27,,BROKER PAYIN,-139672,LED-000154
2025-11-21,2025-11-23,AUTO SWEEP,-187342,LED-000155
2025-11-23,2025-11-24,ATM WDL,-106220,LED-000156
2025-11-25,2025-11-27,ATM WDL,-149307,LED-000157
2025-11-22,2025-11-22,AUTO SWEEP,-100581,LED-000158
2025-11-17,2025-11-18,ATM WDL,-170750,LED-000159
2025-12-01,,AUTO SWEEP,116621,LED-000160
2025-11-23,2025-11-25,ATM WDL,-157515,LED-000161
2025-11-18,2025-11-19,BROKER PAYOUT,-110621,LED-000162
2025-11-17,2025-11-19,BROKER PAYOUT,-130850,LED-000163
2025-12-01,2025-12-03,IMPS,7673,LED-000164
2025-11-24,2025-11-25,BROKER PAYOUT,-91492,LED-000165
2025-11-26,2025-11-26,ATM WDL,3855,LED-000166
2025-11-20,,IMPS,-117888,LED-000167
2025-11-19,2025-11-19,ATM WDL,-165597,LED-000168
2025-11-20,,AUTO SWEEP,127720,LED-000169
2025-11-24,2025-11-26,AUTO SWEEP,-119165,LED-000170
2025-11-24,2025-11-26,BROKER PAYOUT,101824,LED-000171
2025-11-17,2025-11-17,AUTO SWEEP,196048,LED-000172
2025-11-29,,ATM WDL,-142851,LED-000173
2025-11-21,,UPI,189094,LED-000174
2025-11-27,2025-11-29,BROKER PAYIN,-69360,LED-000175
2025-11-22,2025-11-23,ATM WDL,-164627,LED-000176
2025-11-25,2025-11-26,IMPS,-116159,LED-000177
2025-11-21,,,17652,LED-000178
2025-11-28,2025-11-30,UPI,46884,LED-000179
2025-11-28,2025-11-29,IMPS,-56279,LED-000180
2025-11-17,2025-11-19,UPI,-117846,LED-000181
2025-11-28,2025-11-30,BROKER PAYOUT,908,LED-000182
2025-11-21,2025-11-21,UPI,-172178,LED-000183
2025-11-30,2025-12-01,IMPS,-18285,LED-000184
2025-11-25,2025-11-25,BROKER PAYIN,135310,LED-000185
2025-11-19,2025-11-20,ATM WDL,159509,LED-000186
2025-12-01,2025-12-01,IMPS,67747,LED-000187
2025-11-30,2025-11-30,BROKER PAYIN,-176059,LED-000188
2025-12-01,2025-12-03,BROKER PAYOUT,-19389,LED-000189
2025-11-19,2025-11-20,BROKER PAYIN,-69318,LED-000190
2025-11-21,2025-11-21,BROKER PAYOUT,-25317,LED-000191
2025-12-01,2025-12-01,ATM WDL,164928,LED-000192
2025-11-24,2025-11-26,BROKER PAYOUT,-14754,LED-000193
2025-12-01,2025-12-02,UPI,-92884,LED-000194
2025-11-28,,ATM WDL,16614,LED-000195
2025-11-22,,BROKER PAYOUT,-41148,LED-000196
2025-11-29,2025-12-01,IMPS,-197717,LED-000197
2025-11-20,2025-11-20,ATM WDL,-100556,LED-000198
2025-12-01,2025-12-03,AUTO SWEEP,140077,LED-000199
2025-11-27,2025-11-29,BROKER PAYIN,68975,LED-000200
2025-11-23,2025-11-23,AUTO SWEEP,-152029,LED-000201
2025-11-25,2025-11-27,UPI,103615,LED-000202
2025-12-01,2025-12-02,ATM WDL,98357,LED-000203
2025-11-21,2025-11-21,BROKER PAYIN,-43951,LED-000204
2025-11-28,,BROKER PAYIN,-163666,LED-000205
2025-11-27,2025-11-29,BROKER PAYOUT,-92221,LED-000206
2025-11-21,2025-11-22,AUTO SWEEP,34490,LED-000207
2025-11-25,2025-11-27,BROKER PAYOUT,-199012,LED-000208
2025-11-26,2025-11-27,BROKER PAYOUT,-191681,LED-000209
2025-11-24,2025-11-25,AUTO SWEEP,-32768,LED-000210
2025-11-17,2025-11-18,IMPS,-144812,LED-000211
2025-11-20,2025-11-20,,107756,LED-000212
2025-11-18,2025-11-20,ATM WDL,136314,LED-000213
2025-11-18,2025-11-19,AUTO SWEEP,20743,LED-000214
2025-11-27,2025-11-29,IMPS,148830,LED-000215
2025-11-23,2025-11-25,AUTO SWEEP,-81006,LED-000216
2025-11-25,2025-11-26,BROKER PAYOUT,51289,LED-000217
2025-11-17,,IMPS,-21684,LED-000218
2025-11-26,2025-11-26,ATM WDL,-169658,LED-000219
2025-11-17,,BROKER PAYOUT,48377,LED-000220
2025-11-18,2025-11-18,ATM WDL,-23555,LED-000221
2025-11-18,2025-11-18,IMPS,-30372,LED-000222
2025-11-30,2025-11-30,IMPS,95214,LED-000223
2025-11-26,2025-11-26,UPI,-174662,LED-000224
2025-11-28,2025-11-28,,-22635,LED-000225
2025-11-18,2025-11-20,BROKER PAYOUT,89319,LED-000226
2025-11-25,2025-11-25,AUTO SWEEP,184974,LED-000227
2025-11-22,2025-11-22,BROKER PAYOUT,-118273,LED-000228
2025-11-19,2025-11-21,BROKER PAYIN,-188572,LED-000229
2025-11-23,,UPI,-18010,LED-000230
2025-11-22,2025-11-23,AUTO SWEEP,-31489,LED-000231
2025-11-23,2025-11-23,AUTO SWEEP,-152751,LED-000232
2025-12-01,2025-12-03,ATM WDL,197074,LED-000233
2025-11-21,2025-11-21,IMPS,157958,LED-000234
2025-11-18,2025-11-19,BROKER PAYIN,15119,LED-000235
2025-11-23,2025-11-23,BROKER PAYOUT,-45691,LED-000236
2025-11-19,2025-11-20,UPI,-13481,LED-000237
2025-11-25,2025-11-27,SUSPICIOUS BULK WITHDRAWAL,-1278863,LED-000238
2025-11-22,2025-11-24,AUTO SWEEP,-6275,LED-000239
2025-11-24,2025-11-24,AUTO SWEEP,-94124,LED-000240
2025-11-27,2025-11-27,AUTO SWEEP,77412,LED-000241
2025-11-28,2025-11-28,ATM WDL,-5076,LED-000242
2025-11-24,2025-11-26,AUTO SWEEP,-86347,LED-000243
2025-11-17,2025-11-18,BROKER PAYIN,-72036,LED-000244
2025-11-21,2025-11-21,IMPS,74614,LED-000245
2025-11-21,2025-11-23,IMPS,-125037,LED-000246
2025-11-26,2025-11-28,AUTO SWEEP,98107,LED-000247
2025-11-28,2025-11-30,UPI,-120448,LED-000248
2025-11-23,2025-11-23,BROKER PAYOUT,76664,LED-000249
2025-11-20,2025-11-22,,-184646,LED-000250
2025-11-26,2025-11-27,IMPS,-77567,LED-000251
2025-11-28,2025-11-29,ATM WDL,-170825,LED-000252
2025-11-22,,ATM WDL,-59919,LED-000253
2025-11-30,2025-12-01,BROKER PAYIN,-62091,LED-000254
2025-11-25,2025-11-26,ATM WDL,-108728,LED-000255
2025-11-26,2025-11-26,BROKER PAYIN,-38321,LED-000256
2025-11-18,2025-11-19,BROKER PAYOUT,-192351,LED-000257
2025-11-20,2025-11-20,AUTO SWEEP,5486,LED-000258
2025-12-01,2025-12-01,BROKER PAYIN,-184078,LED-000259
2025-11-25,,ATM WDL,25511,LED-000260
2025-11-20,2025-11-21,IMPS,94091,LED-000261
2025-11-20,2025-11-21,BROKER PAYOUT,181500,LED-000262
2025-11-24,2025-11-25,IMPS,178438,LED-000263
2025-11-21,2025-11-22,ATM WDL,180306,LED-000264
2025-11-21,2025-11-23,IMPS,68962,LED-000265
2025-11-18,2025-11-20,AUTO SWEEP,178721,LED-000266
2025-11-22,2025-11-22,,-64344,LED-000267
2025-12-01,2025-12-03,IMPS,187446,LED-000268
2025-11-30,2025-11-30,BROKER PAYIN,-150714,LED-000269
2025-12-01,,BROKER PAYIN,-191095,LED-000270
2025-11-20,2025-11-20,UPI,81525,LED-000271
2025-11-26,,BROKER PAYIN,68962,LED-000272
2025-11-28,2025-11-28,IMPS,11394,LED-000273
2025-11-26,2025-11-26,BROKER PAYOUT,-29942,LED-000274
2025-11-27,2025-11-28,AUTO SWEEP,-122917,LED-000275
2025-11-28,2025-11-29,UPI,-74403,LED-000276
2025-11-24,2025-11-26,UPI,64827,LED-000277
2025-11-29,2025-12-01,BROKER PAYIN,177730,LED-000278
2025-11-29,2025-11-30,UPI,-75635,LED-000279
2025-11-18,2025-11-18,UPI,-51801,LED-000280
2025-11-21,2025-11-22,AUTO SWEEP,-159658,LED-000281
2025-11-27,,BROKER PAYOUT,140366,LED-000282
2025-11-20,,BROKER PAYOUT,108361,LED-000283
2025-11-26,2025-11-26,BROKER PAYIN,-157763,LED-000284
2025-11-19,2025-11-19,UPI,-116572,LED-000285
2025-11-23,2025-11-24,UPI,-184989,LED-000286
2025-11-24,2025-11-24,BROKER PAYIN,-127749,LED-000287
2025-11-20,2025-11-21,BROKER PAYIN,40459,LED-000288
2025-11-17,2025-11-19,IMPS,-160454,LED-000289
2025-11-21,2025-11-22,UPI,66095,LED-000290
2025-11-19,2025-11-21,UPI,27406,LED-000291
2025-11-17,2025-11-19,UPI,164479,LED-000292
2025-11-25,2025-11-25,BROKER PAYOUT,-107345,LED-000293
2025-11-23,2025-11-25,UPI,164921,LED-000294
2025-11-24,2025-11-26,BROKER PAYOUT,-131012,LED-000295
2025-11-17,2025-11-17,UPI,39673,LED-000296
2025-11-22,2025-11-24,IMPS,45476,LED-000297
2025-11-25,2025-11-25,SUSPICIOUS BULK WITHDRAWAL,-1899830,LED-000298
2025-11-30,2025-11-30,AUTO SWEEP,73739,LED-000299
2025-11-24,2025-11-25,BROKER PAYOUT,-24820,LED-000300
2025-11-27,2025-11-29,IMPS,-10120,LED-000301
2025-11-25,2025-11-27,UPI,-133646,LED-000302
2025-11-25,2025-11-25,ATM WDL,-166353,LED-000303
2025-11-17,2025-11-19,BROKER PAYIN,36963,LED-000304
2025-11-18,2025-11-20,,113294,LED-000305
2025-11-27,2025-11-27,UPI,58451,LED-000306
2025-11-30,2025-12-01,BROKER PAYIN,-16654,LED-000307
2025-11-30,2025-12-02,UPI,-17189,LED-000308
2025-11-27,2025-11-29,ATM WDL,-101395,LED-000309
2025-11-30,2025-11-30,BROKER PAYIN,28006,LED-000310
2025-11-22,2025-11-22,SUSPICIOUS BULK WITHDRAWAL,-756173,LED-000311
2025-11-24,2025-11-26,BROKER PAYIN,-174815,LED-000312
2025-11-23,2025-11-23,AUTO SWEEP,-97643,LED-000313
2025-11-24,,UPI,161433,LED-000314
2025-11-28,2025-11-28,BROKER PAYIN,28480,LED-000315
2025-11-24,2025-11-26,AUTO SWEEP,-184983,LED-000316
2025-11-18,,IMPS,178916,LED-000317
2025-11-23,2025-11-25,UPI,-9523,LED-000318
2025-11-22,2025-11-24,UPI,-56039,LED-000319
2025-12-01,2025-12-03,BROKER PAYOUT,-194947,LED-000320
2025-11-17,2025-11-18,AUTO SWEEP,-17163,LED-000321
2025-12-01,2025-12-01,,27087,LED-000322
2025-11-28,,UPI,3582,LED-000323
2025-11-28,,BROKER PAYIN,-35184,LED-000324
2025-11-24,2025-11-25,BROKER PAYOUT,16979,LED-000325
2025-11-26,2025-11-27,ATM WDL,95185,LED-000326
2025-11-27,,BROKER PAYIN,-8108,LED-000327
2025-11-24,2025-11-24,AUTO SWEEP,58577,LED-000328
2025-11-22,,UPI,185597,LED-000329
2025-11-22,2025-11-23,SUSPICIOUS BULK WITHDRAWAL,-1999301,LED-000330
2025-11-29,2025-11-30,UPI,-22186,LED-000331
2025-11-17,2025-11-19,ATM WDL,34251,LED-000332
2025-11-26,2025-11-27,UPI,-23555,LED-000333
2025-11-18,2025-11-20,BROKER PAYIN,135422,LED-000334
2025-11-27,2025-11-28,IMPS,-135295,LED-000335
2025-11-26,2025-11-27,BROKER PAYOUT,-193242,LED-000336
2025-11-29,2025-11-29,ATM WDL,-93640,LED-000337
2025-11-25,,UPI,124371,LED-000338
2025-12-01,2025-12-02,BROKER PAYIN,-112342,LED-000339
2025-11-26,2025-11-27,UPI,-122743,LED-000340
2025-11-24,2025-11-26,BROKER PAYIN,-97690,LED-000341
2025-11-26,2025-11-26,BROKER PAYIN,-11006,LED-000342
2025-11-21,2025-11-22,UPI,-125174,LED-000343
2025-11-23,2025-11-23,AUTO SWEEP,-19517,LED-000344
2025-11-18,2025-11-20,BROKER PAYIN,98424,LED-000345
2025-11-24,2025-11-24,ATM WDL,-25107,LED-000346
2025-11-30,2025-11-30,AUTO SWEEP,141667,LED-000347
2025-11-20,,AUTO SWEEP,130617,LED-000348
2025-11-20,2025-11-20,UPI,36426,LED-000349
2025-11-29,2025-11-30,AUTO SWEEP,141293,LED-000350
2025-11-28,2025-11-28,AUTO SWEEP,-168446,LED-000351
2025-11-24,2025-11-26,UPI,-195223,LED-000352
2025-11-25,2025-11-27,AUTO SWEEP,144480,LED-000353
2025-11-30,2025-12-01,BROKER PAYIN,143184,LED-000354
2025-11-25,2025-11-26,AUTO SWEEP,160396,LED-000355
2025-11-21,2025-11-22,BROKER PAYIN,5610,LED-000356
2025-11-28,2025-11-29,UPI,32587,LED-000357
2025-11-21,2025-11-21,AUTO SWEEP,-184646,LED-000358
2025-11-24,2025-11-26,IMPS,-6951,LED-000359
2025-11-30,2025-12-01,IMPS,-132774,LED-000360
2025-11-18,2025-11-18,BROKER PAYIN,168337,LED-000361
2025-11-27,2025-11-28,ATM WDL,-49153,LED-000362
2025-11-20,2025-11-21,ATM WDL,159098,LED-000363
2025-11-24,2025-11-26,BROKER PAYOUT,-154243,LED-000364
2025-11-28,2025-11-30,AUTO SWEEP,131034,LED-000365
2025-11-28,2025-11-29,UPI,-188593,LED-000366
2025-11-26,2025-11-28,ATM WDL,20516,LED-000367
2025-11-30,,UPI,149416,LED-000368
2025-11-17,2025-11-18,AUTO SWEEP,195936,LED-000369
2025-11-24,2025-11-26,BROKER PAYOUT,8256,LED-000370
2025-11-25,2025-11-27,IMPS,-181737,LED-000371
2025-11-24,2025-11-25,UPI,-23035,LED-000372
2025-11-29,2025-12-01,BROKER PAYIN,-92818,LED-000373
2025-11-27,2025-11-28,BROKER PAYIN,-128847,LED-000374
2025-11-23,,UPI,-62664,LED-000375
2025-11-30,2025-11-30,IMPS,67219,LED-000376
2025-11-30,2025-12-02,UPI,52115,LED-000377
2025-11-26,2025-11-26,BROKER PAYIN,-66260,LED-000378
2025-11-21,2025-11-23,IMPS,156059,LED-000379
2025-11-23,,BROKER PAYOUT,-107076,LED-000380
2025-11-17,2025-11-17,UPI,133655,LED-000381
2025-12-01,2025-12-02,BROKER PAYIN,89846,LED-000382
2025-11-30,2025-11-30,BROKER PAYIN,-186280,LED-000383
2025-11-19,2025-11-19,IMPS,-171227,LED-000384
2025-12-01,2025-12-01,BROKER PAYOUT,-34601,LED-000385
2025-11-29,2025-11-30,AUTO SWEEP,-97786,LED-000386
2025-11-26,2025-11-28,IMPS,29805,LED-000387
2025-11-21,2025-11-21,ATM WDL,2682,LED-000388
2025-11-27,2025-11-28,UPI,-71169,LED-000389
2025-11-30,,BROKER PAYOUT,-59430,LED-000390
2025-11-17,2025-11-18,UPI,-87683,LED-000391
2025-11-20,,ATM WDL,-51900,LED-000392
2025-11-25,2025-11-25,BROKER PAYIN,153284,LED-000393
2025-11-20,2025-11-22,AUTO SWEEP,82291,LED-000394
2025-11-29,2025-12-01,ATM WDL,156753,LED-000395
2025-12-01,2025-12-02,UPI,-30110,LED-000396
2025-11-23,2025-11-25,,-10135,LED-000397
2025-11-30,2025-12-02,BROKER PAYOUT,158907,LED-000398
2025-11-30,2025-11-30,IMPS,15562,LED-000399
2025-11-19,2025-11-19,BROKER PAYOUT,31804,LED-000400
2025-11-28,2025-11-28,IMPS,79823,LED-000401
2025-11-30,2025-12-01,ATM WDL,143819,LED-000402
2025-11-24,2025-11-25,BROKER PAYOUT,75376,LED-000403
2025-11-28,2025-11-29,IMPS,35460,LED-000404
2025-11-23,2025-11-24,UPI,20150,LED-000405
2025-11-24,2025-11-24,BROKER PAYOUT,-85788,LED-000406
2025-11-27,2025-11-28,IMPS,33315,LED-000407
2025-12-01,2025-12-01,ATM WDL,163398,LED-000408
2025-11-25,2025-11-26,UPI,-132881,LED-000409
2025-11-17,2025-11-17,BROKER PAYOUT,-174109,LED-000410
2025-11-28,2025-11-29,IMPS,-79568,LED-000411
2025-11-20,2025-11-21,AUTO SWEEP,-187650,LED-000412
2025-11-23,2025-11-25,AUTO SWEEP,132174,LED-000413
2025-11-23,,UPI,-48887,LED-000414
2025-11-24,,IMPS,-197294,LED-000415
2025-11-18,2025-11-20,BROKER PAYOUT,-172451,LED-000416
2025-11-25,2025-11-25,IMPS,-126410,LED-000417
2025-11-28,2025-11-29,BROKER PAYOUT,163597,LED-000418
2025-11-22,2025-11-22,UPI,81579,LED-000419
2025-11-26,2025-11-27,BROKER PAYIN,11375,LED-000420
2025-11-20,2025-11-22,ATM WDL,161877,LED-000421
2025-11-25,2025-11-25,ATM WDL,138937,LED-000422
2025-11-28,2025-11-30,UPI,-91585,LED-000423
2025-11-17,2025-11-19,IMPS,127281,LED-000424
2025-11-19,2025-11-19,,152346,LED-000425
2025-11-22,,AUTO SWEEP,99098,LED-000426
2025-11-19,2025-11-20,AUTO SWEEP,-110918,LED-000427
2025-11-27,2025-11-27,BROKER PAYIN,-119437,LED-000428
2025-11-19,2025-11-21,BROKER PAYIN,-50617,LED-000429
2025-12-01,2025-12-02,ATM WDL,-145254,LED-000430
2025-11-18,2025-11-18,UPI,-28864,LED-000431
2025-11-18,2025-11-18,SUSPICIOUS BULK WITHDRAWAL,-1027645,LED-000432
2025-11-18,2025-11-19,BROKER PAYIN,-138211,LED-000433
2025-11-30,2025-12-02,BROKER PAYIN,-97408,LED-000434
2025-11-24,2025-11-24,BROKER PAYOUT,-24478,LED-000435
2025-11-27,2025-11-27,BROKER PAYOUT,-194204,LED-000436
2025-11-22,2025-11-23,BROKER PAYOUT,10208,LED-000437
2025-11-18,2025-11-20,AUTO SWEEP,-36271,LED-000438
2025-11-25,2025-11-25,UPI,-47994,LED-000439
2025-11-17,,UPI,-86441,LED-000440
2025-11-28,2025-11-30,UPI,90184,LED-000441
2025-11-28,2025-11-28,IMPS,152269,LED-000442
2025-11-20,,BROKER PAYIN,32979,LED-000443
2025-11-25,2025-11-26,SUSPICIOUS BULK WITHDRAWAL,-1317328,LED-000444
2025-11-26,2025-11-27,AUTO SWEEP,96094,LED-000445
2025-11-30,2025-11-30,ATM WDL,84027,LED-000446
2025-11-26,2025-11-28,SUSPICIOUS BULK WITHDRAWAL,-631909,LED-000447
2025-11-27,2025-11-28,SUSPICIOUS BULK WITHDRAWAL,-1990283,LED-000448
2025-11-24,2025-11-24,UPI,-28640,LED-000449
2025-11-30,2025-12-02,AUTO SWEEP,-133298,LED-000450
2025-11-27,2025-11-27,ATM WDL,115798,LED-000451
2025-11-19,2025-11-19,UPI,53230,LED-000452
2025-11-19,2025-11-21,IMPS,-128208,LED-000453
