TxnDate,ValueDate,Description,Debit,Credit,Balance,RefNo
2025-11-26,2025-11-27,CLIENT FUNDING - RTGS,,223014,1034288.0,TXN-0000106
2025-11-27,2025-11-27,CLIENT FUNDING - RTGS,,206111,1240399.0,TXN-0000107
2025-11-21,2025-11-21,BROKERAGE / TRADE SETTLEMENT,108648,,1131751.0,TXN-0000108
2025-11-21,2025-11-22,BROKERAGE / TRADE SETTLEMENT,108360,,1023391.0,TXN-0000109
2025-11-27,2025-11-27,MISC ADJUSTMENT,31158,,992233.0,TXN-0000110
2025-11-22,2025-11-23,MISC ADJUSTMENT,32837,,959396.0,TXN-0000111
2025-11-26,2025-11-26,CLIENT FUNDING - RTGS,,58249,1017645.0,TXN-0000112
2025-11-17,2025-11-17,PAYOUT TO CLIENT,74775,,942870.0,TXN-0000113
2025-11-17,2025-11-17,BROKERAGE / TRADE SETTLEMENT,39234,,903636.0,TXN-0000114
2025-11-23,2025-11-25,MISC ADJUSTMENT,,21265,924901.0,TXN-0000115
2025-11-21,2025-11-21,CLIENT FUNDING - RTGS,,146279,1071180.0,TXN-0000116
2025-11-15,2025-11-15,CLIENT FUNDING - RTGS,,235127,1306307.0,TXN-0000117
2025-11-23,2025-11-24,MISC ADJUSTMENT,24299,,1282008.0,TXN-0000118
2025-11-18,2025-11-18,PAYOUT TO CLIENT,96350,,1185658.0,TXN-0000119
2025-11-29,2025-11-29,CLIENT FUNDING - RTGS,,142876,1328534.0,TXN-0000120
2025-11-17,2025-11-17,CLIENT FUNDING - RTGS,,130094,1458628.0,TXN-0000121
2025-11-23,2025-11-23,PAYOUT TO CLIENT,46919,,1411709.0,TXN-0000122
2025-11-27,2025-11-29,CLIENT FUNDING - RTGS,,93322,1505031.0,TXN-0000123
2025-11-26,2025-11-26,MISC ADJUSTMENT,,19080,1524111.0,TXN-0000124
2025-11-17,2025-11-17,BROKERAGE / TRADE SETTLEMENT,69262,,1454849.0,TXN-0000125
2025-11-23,2025-11-23,CLIENT FUNDING - RTGS,,294542,1749391.0,TXN-0000126
2025-11-28,2025-11-29,BROKERAGE / TRADE SETTLEMENT,147287,,1602104.0,TXN-0000127
2025-11-20,2025-11-20,BROKERAGE / TRADE SETTLEMENT,31355,,1570749.0,TXN-0000128
2025-11-15,2025-11-17,PAYOUT TO CLIENT,28255,,1542494.0,TXN-0000129
2025-11-16,2025-11-17,CLIENT FUNDING - RTGS,,217509,1760003.0,TXN-0000130
2025-11-25,2025-11-25,CLIENT FUNDING - RTGS,,246303,2006306.0,TXN-0000131
2025-11-26,2025-11-26,BROKERAGE / TRADE SETTLEMENT,53788,,1952518.0,TXN-0000132
2025-11-21,2025-11-21,PAYOUT TO CLIENT,64605,,1887913.0,TXN-0000133
2025-11-15,2025-11-15,BANK / DP CHARGES,980,,1886933.0,TXN-0000134
2025-11-15,2025-11-17,CLIENT FUNDING - RTGS,,195545,2082478.0,TXN-0000135
2025-11-19,2025-11-21,PAYOUT TO CLIENT,57660,,2024818.0,TXN-0000136
2025-11-21,2025-11-21,CLIENT FUNDING - RTGS,,115804,2140622.0,TXN-0000137
2025-11-27,2025-11-27,BANK / DP CHARGES,1813,,2138809.0,TXN-0000138
2025-11-29,2025-11-30,CLIENT FUNDING - RTGS,,240297,2379106.0,TXN-0000139
2025-11-19,2025-11-19,CLIENT FUNDING - RTGS,,134572,2513678.0,TXN-0000140
2025-11-15,2025-11-17,MISC ADJUSTMENT,,30398,2544076.0,TXN-0000141
2025-11-25,2025-11-25,BROKERAGE / TRADE SETTLEMENT,21887,,2522189.0,TXN-0000142
2025-11-28,2025-11-30,PAYOUT TO CLIENT,162226,,2359963.0,TXN-0000143
2025-11-24,2025-11-24,PAYOUT TO CLIENT,151954,,2208009.0,TXN-0000144
2025-11-17,2025-11-18,MISC ADJUSTMENT,14653,,2193356.0,TXN-0000145
2025-11-20,2025-11-20,CLIENT FUNDING - RTGS,,229641,2422997.0,TXN-0000146
2025-11-19,2025-11-21,MISC ADJUSTMENT,34923,,2388074.0,TXN-0000147
2025-11-19,2025-11-19,PAYOUT TO CLIENT,65835,,2322239.0,TXN-0000148
2025-11-24,2025-11-26,PAYOUT TO CLIENT,105581,,2216658.0,TXN-0000149
2025-11-18,2025-11-19,BROKERAGE / TRADE SETTLEMENT,73838,,2142820.0,TXN-0000150
2025-11-23,2025-11-23,PAYOUT TO CLIENT,109460,,2033360.0,TXN-0000151
2025-11-19,2025-11-19,CLIENT FUNDING - RTGS,,265757,2299117.0,TXN-0000152
2025-11-22,2025-11-22,BROKERAGE / TRADE SETTLEMENT,127400,,2171717.0,TXN-0000153
2025-11-17,2025-11-19,BROKERAGE / TRADE SETTLEMENT,78212,,2093505.0,TXN-0000154
2025-11-22,2025-11-24,MISC ADJUSTMENT,11962,,2081543.0,TXN-0000155
2025-11-24,2025-11-25,BANK / DP CHARGES,1603,,2079940.0,TXN-0000156
2025-11-29,2025-11-29,PAYOUT TO CLIENT,82743,,1997197.0,TXN-0000157
2025-11-16,2025-11-18,CLIENT FUNDING - RTGS,,103894,2101091.0,TXN-0000158
2025-11-19,2025-11-21,PAYOUT TO CLIENT,139271,,1961820.0,TXN-0000159
2025-11-24,2025-11-26,CLIENT FUNDING - RTGS,,263480,2225300.0,TXN-0000160
2025-11-15,2025-11-15,CLIENT FUNDING - RTGS,,187489,2412789.0,TXN-0000161
2025-11-18,2025-11-18,BROKERAGE / TRADE SETTLEMENT,133060,,2279729.0,TXN-0000162
2025-11-17,2025-11-19,CLIENT FUNDING - RTGS,,215567,2495296.0,TXN-0000163
2025-11-16,2025-11-17,BANK / DP CHARGES,324,,2494972.0,TXN-0000164
2025-11-28,2025-11-29,PAYOUT TO CLIENT,69349,,2425623.0,TXN-0000165
2025-11-16,2025-11-17,PAYOUT TO CLIENT,197494,,2228129.0,TXN-0000166
2025-11-16,2025-11-17,MISC ADJUSTMENT,19862,,2208267.0,TXN-0000167
2025-11-24,2025-11-25,CLIENT FUNDING - RTGS,,152764,2361031.0,TXN-0000168
2025-11-16,2025-11-16,CLIENT FUNDING - RTGS,,93269,2454300.0,TXN-0000169
2025-11-16,2025-11-16,PAYOUT TO CLIENT,185578,,2268722.0,TXN-0000170
2025-11-24,2025-11-24,BROKERAGE / TRADE SETTLEMENT,114155,,2154567.0,TXN-0000171
2025-11-29,2025-11-30,MISC ADJUSTMENT,29477,,2125090.0,TXN-0000172
2025-11-19,2025-11-19,MISC ADJUSTMENT,36173,,2088917.0,TXN-0000173
2025-11-28,2025-11-30,PAYOUT TO CLIENT,82646,,2006271.0,TXN-0000174
2025-11-24,2025-11-24,MISC ADJUSTMENT,27302,,1978969.0,TXN-0000175
2025-11-27,2025-11-27,CLIENT FUNDING - RTGS,,156786,2135755.0,TXN-0000176
2025-11-29,2025-12-01,MISC ADJUSTMENT,,17026,2152781.0,TXN-0000177
2025-11-29,2025-11-29,BROKERAGE / TRADE SETTLEMENT,95988,,2056793.0,TXN-0000178
2025-11-20,2025-11-22,BANK / DP CHARGES,1989,,2054804.0,TXN-0000179
2025-11-20,2025-11-21,MISC ADJUSTMENT,,25165,2079969.0,TXN-0000180
2025-11-26,2025-11-26,BANK / DP CHARGES,376,,2079593.0,TXN-0000181
2025-11-17,2025-11-19,MISC ADJUSTMENT,10431,,2069162.0,TXN-0000182
2025-11-27,2025-11-27,BANK / DP CHARGES,1565,,2067597.0,TXN-0000183
2025-11-21,2025-11-22,CLIENT FUNDING - RTGS,,279016,2346613.0,TXN-0000184
2025-11-23,2025-11-23,BANK / DP CHARGES,522,,2346091.0,TXN-0000185
2025-11-24,2025-11-25,PAYOUT TO CLIENT,51466,,2294625.0,TXN-0000186
2025-11-24,2025-11-24,MISC ADJUSTMENT,,39687,2334312.0,TXN-0000187
2025-11-26,2025-11-26,BANK / DP CHARGES,916,,2333396.0,TXN-0000188
2025-11-21,2025-11-22,MISC ADJUSTMENT,34591,,2298805.0,TXN-0000189
2025-11-17,2025-11-17,BROKERAGE / TRADE SETTLEMENT,39117,,2259688.0,TXN-0000190
2025-11-19,2025-11-19,BANK / DP CHARGES,869,,2258819.0,TXN-0000191
2025-11-20,2025-11-20,PAYOUT TO CLIENT,153917,,2104902.0,TXN-0000192
2025-11-24,2025-11-25,BROKERAGE / TRADE SETTLEMENT,13566,,2091336.0,TXN-0000193
2025-11-16,2025-11-18,PAYOUT TO CLIENT,152631,,1938705.0,TXN-0000194
2025-11-25,2025-11-25,BANK / DP CHARGES,524,,1938181.0,TXN-0000195
2025-11-22,2025-11-22,PAYOUT TO CLIENT,139693,,1798488.0,TXN-0000196
2025-11-24,2025-11-26,BANK / DP CHARGES,711,,1797777.0,TXN-0000197
2025-11-25,2025-11-26,CLIENT FUNDING - RTGS,,56128,1853905.0,TXN-0000198
2025-11-15,2025-11-15,CLIENT FUNDING - RTGS,,264803,2118708.0,TXN-0000199
2025-11-26,2025-11-26,PAYOUT TO CLIENT,109096,,2009612.0,TXN-0000200
2025-11-24,2025-11-25,MISC ADJUSTMENT,17687,,1991925.0,TXN-0000201
2025-11-24,2025-11-24,BROKERAGE / TRADE SETTLEMENT,67514,,1924411.0,TXN-0000202
2025-11-26,2025-11-26,BROKERAGE / TRADE SETTLEMENT,130322,,1794089.0,TXN-0000203
2025-11-19,2025-11-20,BANK / DP CHARGES,494,,1793595.0,TXN-0000204
2025-11-20,2025-11-20,CLIENT FUNDING - RTGS,,206565,2000160.0,TXN-0000205
2025-11-23,2025-11-25,BROKERAGE / TRADE SETTLEMENT,120108,,1880052.0,TXN-0000206
2025-11-28,2025-11-28,BANK / DP CHARGES,440,,1879612.0,TXN-0000207
2025-11-16,2025-11-16,PAYOUT TO CLIENT,143710,,1735902.0,TXN-0000208
2025-11-16,2025-11-16,MISC ADJUSTMENT,,13328,1749230.0,TXN-0000209
2025-11-24,2025-11-25,BROKERAGE / TRADE SETTLEMENT,85834,,1663396.0,TXN-0000210
2025-11-15,2025-11-17,BROKERAGE / TRADE SETTLEMENT,97509,,1565887.0,TXN-0000211
2025-11-21,2025-11-21,BANK / DP CHARGES,787,,1565100.0,TXN-0000212
2025-11-29,2025-11-29,BROKERAGE / TRADE SETTLEMENT,128524,,1436576.0,TXN-0000213
2025-11-22,2025-11-23,BANK / DP CHARGES,574,,1436002.0,TXN-0000214
2025-11-22,2025-11-23,PAYOUT TO CLIENT,70877,,1365125.0,TXN-0000215
2025-11-27,2025-11-27,CLIENT FUNDING - RTGS,,251972,1617097.0,TXN-0000216
2025-11-22,2025-11-22,PAYOUT TO CLIENT,119111,,1497986.0,TXN-0000217
2025-11-25,2025-11-26,BANK / DP CHARGES,393,,1497593.0,TXN-0000218
2025-11-16,2025-11-18,PAYOUT TO CLIENT,178498,,1319095.0,TXN-0000219
2025-11-18,2025-11-19,BANK / DP CHARGES,443,,1318652.0,TXN-0000220
2025-11-20,2025-11-20,BANK / DP CHARGES,1851,,1316801.0,TXN-0000221
2025-11-29,2025-11-30,BANK / DP CHARGES,1273,,1315528.0,TXN-0000222
2025-11-25,2025-11-25,BANK / DP CHARGES,388,,1315140.0,TXN-0000223
2025-11-22,2025-11-23,MISC ADJUSTMENT,41246,,1273894.0,TXN-0000224
2025-11-21,2025-11-21,PAYOUT TO CLIENT,89366,,1184528.0,TXN-0000225
2025-11-24,2025-11-25,BANK / DP CHARGES,1266,,1183262.0,TXN-0000226
2025-11-19,2025-11-20,MISC ADJUSTMENT,,28755,1212017.0,TXN-0000227
2025-11-29,2025-11-29,BROKERAGE / TRADE SETTLEMENT,132518,,1079499.0,TXN-0000228
2025-11-19,2025-11-19,BANK / DP CHARGES,1265,,1078234.0,TXN-0000229
2025-11-26,2025-11-27,BANK / DP CHARGES,770,,1077464.0,TXN-0000230
2025-11-22,2025-11-22,BROKERAGE / TRADE SETTLEMENT,148892,,928572.0,TXN-0000231
2025-11-20,2025-11-20,MISC ADJUSTMENT,,25074,953646.0,TXN-0000232
2025-11-15,2025-11-17,BROKERAGE / TRADE SETTLEMENT,120553,,833093.0,TXN-0000233
2025-11-16,2025-11-16,BANK / DP CHARGES,971,,832122.0,TXN-0000234
2025-11-16,2025-11-16,MISC ADJUSTMENT,,19683,851805.0,TXN-0000235
2025-11-26,2025-11-26,BANK / DP CHARGES,1896,,849909.0,TXN-0000236
2025-11-19,2025-11-20,BROKERAGE / TRADE SETTLEMENT,65212,,784697.0,TXN-0000237
2025-11-22,2025-11-24,BANK / DP CHARGES,1558,,783139.0,TXN-0000238
2025-11-24,2025-11-24,MISC ADJUSTMENT,38839,,744300.0,TXN-0000239
2025-11-22,2025-11-22,BROKERAGE / TRADE SETTLEMENT,39873,,704427.0,TXN-0000240
2025-11-28,2025-11-28,CLIENT FUNDING - RTGS,,134098,838525.0,TXN-0000241
2025-11-26,2025-11-27,BANK / DP CHARGES,524,,838001.0,TXN-0000242
2025-11-25,2025-11-27,PAYOUT TO CLIENT,160651,,677350.0,TXN-0000243
2025-11-17,2025-11-17,BROKERAGE / TRADE SETTLEMENT,50957,,626393.0,TXN-0000244
2025-11-21,2025-11-22,BROKERAGE / TRADE SETTLEMENT,143195,,483198.0,TXN-0000245
2025-11-29,2025-11-29,BROKERAGE / TRADE SETTLEMENT,51551,,431647.0,TXN-0000246
2025-11-20,2025-11-20,MISC ADJUSTMENT,,41960,473607.0,TXN-0000247
2025-11-29,2025-11-29,MISC ADJUSTMENT,,41152,514759.0,TXN-0000248
2025-11-21,2025-11-21,PAYOUT TO CLIENT,112398,,402361.0,TXN-0000249
2025-11-23,2025-11-23,PAYOUT TO CLIENT,166922,,235439.0,TXN-0000250
2025-11-28,2025-11-30,BROKERAGE / TRADE SETTLEMENT,28822,,206617.0,TXN-0000251
2025-11-22,2025-11-24,BANK / DP CHARGES,422,,206195.0,TXN-0000252
2025-11-19,2025-11-19,PAYOUT TO CLIENT,27451,,178744.0,TXN-0000253
2025-11-27,2025-11-29,CLIENT FUNDING - RTGS,,118673,297417.0,TXN-0000254
2025-11-15,2025-11-17,CLIENT FUNDING - RTGS,,165603,463020.0,TXN-0000255
2025-11-21,2025-11-22,CLIENT FUNDING - RTGS,,210030,673050.0,TXN-0000256
2025-11-24,2025-11-26,BANK / DP CHARGES,396,,672654.0,TXN-0000257
2025-11-27,2025-11-29,MISC ADJUSTMENT,,10176,682830.0,TXN-0000258
2025-11-26,2025-11-26,MISC ADJUSTMENT,,24003,706833.0,TXN-0000259
2025-11-24,2025-11-24,MISC ADJUSTMENT,29199,,677634.0,TXN-0000260
2025-11-18,2025-11-18,BANK / DP CHARGES,1487,,676147.0,TXN-0000261
2025-11-16,2025-11-16,BANK / DP CHARGES,1567,,674580.0,TXN-0000262
2025-11-16,2025-11-16,BROKERAGE / TRADE SETTLEMENT,79274,,595306.0,TXN-0000263
2025-11-28,2025-11-28,MISC ADJUSTMENT,16196,,579110.0,TXN-0000264
2025-11-27,2025-11-29,BANK / DP CHARGES,1044,,578066.0,TXN-0000265
2025-11-23,2025-11-23,PAYOUT TO CLIENT,119615,,458451.0,TXN-0000266
2025-11-19,2025-11-21,BANK / DP CHARGES,1857,,456594.0,TXN-0000267
2025-11-20,2025-11-20,BROKERAGE / TRADE SETTLEMENT,17093,,439501.0,TXN-0000268
2025-11-19,2025-11-19,MISC ADJUSTMENT,,6636,446137.0,TXN-0000269
2025-11-25,2025-11-25,BANK / DP CHARGES,324,,445813.0,TXN-0000270
2025-11-20,2025-11-21,PAYOUT TO CLIENT,170710,,275103.0,TXN-0000271
2025-11-16,2025-11-17,PAYOUT TO CLIENT,199098,,76005.0,TXN-0000272
2025-11-26,2025-11-26,MISC ADJUSTMENT,,21739,97744.0,TXN-0000273
2025-11-29,2025-11-29,BROKERAGE / TRADE SETTLEMENT,29898,,67846.0,TXN-0000274
2025-11-18,2025-11-20,BANK / DP CHARGES,534,,67312.0,TXN-0000275
2025-11-18,2025-11-18,BANK / DP CHARGES,633,,66679.0,TXN-0000276
2025-11-27,2025-11-29,CLIENT FUNDING - RTGS,,86794,153473.0,TXN-0000277
2025-11-19,2025-11-19,BROKERAGE / TRADE SETTLEMENT,120845,,32628.0,TXN-0000278
2025-11-20,2025-11-20,BROKERAGE / TRADE SETTLEMENT,28695,,3933.0,TXN-0000279
2025-11-20,2025-11-20,CLIENT FUNDING - RTGS,,238655,242588.0,TXN-0000280
2025-11-21,2025-11-23,BANK / DP CHARGES,1361,,241227.0,TXN-0000281
2025-11-25,2025-11-25,BROKERAGE / TRADE SETTLEMENT,85329,,155898.0,TXN-0000282
2025-11-26,2025-11-26,MISC ADJUSTMENT,,48491,204389.0,TXN-0000283
2025-11-21,2025-11-21,CLIENT FUNDING - RTGS,,136842,341231.0,TXN-0000284
2025-11-18,2025-11-19,CLIENT FUNDING - RTGS,,153868,495099.0,TXN-0000285
2025-11-18,2025-11-20,MISC ADJUSTMENT,29319,,465780.0,TXN-0000286
2025-11-21,2025-11-22,CLIENT FUNDING - RTGS,,239566,705346.0,TXN-0000287
2025-11-22,2025-11-22,MISC ADJUSTMENT,10640,,694706.0,TXN-0000288
2025-11-25,2025-11-27,BROKERAGE / TRADE SETTLEMENT,137414,,557292.0,TXN-0000289
2025-11-29,2025-11-30,CLIENT FUNDING - RTGS,,139217,696509.0,TXN-0000290
2025-11-26,2025-11-26,BROKERAGE / TRADE SETTLEMENT,41478,,655031.0,TXN-0000291
2025-11-20,2025-11-22,BROKERAGE / TRADE SETTLEMENT,51850,,603181.0,TXN-0000292
2025-11-16,2025-11-17,PAYOUT TO CLIENT,140379,,462802.0,TXN-0000293
2025-11-22,2025-11-24,PAYOUT TO CLIENT,102221,,360581.0,TXN-0000294
2025-11-18,2025-11-18,BROKERAGE / TRADE SETTLEMENT,78907,,281674.0,TXN-0000295
2025-11-17,2025-11-17,CLIENT FUNDING - RTGS,,75019,356693.0,TXN-0000296
2025-11-21,2025-11-23,MISC ADJUSTMENT,,45729,402422.0,TXN-0000297
