trade_date,broker_code,client,ticker,side,quantity,price,amt
2025-11-24,ALPHA_SEC,CL272732,INFY,BUY,166,1800.58,298896.28
2025-11-20,BETA_INVEST,CL200509,INFY,BUY,26,2161.36,56195.36
2025-11-25,BETA_INVEST,CL800806,KOTAKBANK,SELL,194,2261.06,438645.64
2025-11-26,DELTA_TRADES,CL881561,ITC,BUY,230,1362.94,313476.2
2025-11-20,ALPHA_SEC,CL623316,LT,SELL,134,2184.56,292731.04
2025-11-23,BETA_INVEST,CL228280,HDFC,SELL,247,162.24,40073.28
2025-11-24,ALPHA_SEC,CL815196,ITC,SELL,183,1111.48,203400.84
2025-11-24,ALPHA_SEC,CL986067,ICICIBANK,BUY,207,2347.06,485841.42
2025-11-23,BETA_INVEST,CL350665,ITC,SELL,201,434.53,87340.53
2025-11-23,OMEGA_BROKING,CL553388,HDFC,SELL,112,2093.67,234491.04
2025-11-22,BETA_INVEST,CL721326,RELIANCE,SELL,149,829.89,123653.61
2025-11-21,BETA_INVEST,CL416106,INFY,BUY,141,405.62,57192.42
2025-11-26,ALPHA_SEC,CL330070,LT,SELL,208,1893.65,393879.2
2025-11-24,BETA_INVEST,CL728777,RELIANCE,BUY,183,2440.22,446560.26
2025-11-25,DELTA_TRADES,CL597447,INFY,SELL,145,1249.95,181242.75
2025-11-21,DELTA_TRADES,CL147489,LT,SELL,163,1236.74,201588.62
2025-11-22,DELTA_TRADES,CL863399,ICICIBANK,SELL,38,1850.13,70304.94
2025-11-21,BETA_INVEST,CL051694,TATAMOTORS,BUY,97,731.65,70970.05
2025-11-20,OMEGA_BROKING,CL871938,HDFC,BUY,98,2350.97,230395.06
2025-11-21,ALPHA_SEC,CL599208,KOTAKBANK,SELL,237,1626.37,385449.69
2025-11-26,DELTA_TRADES,CL827742,ITC,SELL,184,1218.63,224227.92
2025-11-21,DELTA_TRADES,CL482487,TATAMOTORS,BUY,177,2371.34,419727.18
2025-11-25,DELTA_TRADES,CL590706,INFY,SELL,159,525.31,83524.29
2025-11-21,BETA_INVEST,CL214171,ITC,SELL,90,408.45,36760.5
2025-11-23,ALPHA_SEC,CL771147,INFY,SELL,107,615.59,65868.13
2025-11-25,BETA_INVEST,CL189303,ICICIBANK,SELL,267,1133.05,302524.35
2025-11-26,DELTA_TRADES,CL221434,INFY,BUY,141,606.44,85508.04
2025-11-20,ALPHA_SEC,CL348090,LT,SELL,105,1762.44,185056.2
2025-11-25,DELTA_TRADES,CL901260,AXISBANK,BUY,168,1174.48,197312.64
2025-11-24,BETA_INVEST,CL795304,SBIN,BUY,180,1972.2,354996.0
2025-11-24,OMEGA_BROKING,CL748501,KOTAKBANK,SELL,192,432.86,83109.12
2025-11-20,ALPHA_SEC,CL247738,ICICIBANK,SELL,72,503.67,36264.24
2025-11-23,BETA_INVEST,CL988140,KOTAKBANK,BUY,17,1696.34,28837.78
2025-11-22,DELTA_TRADES,CL495404,KOTAKBANK,SELL,24,1467.15,35211.6
2025-11-25,DELTA_TRADES,CL718568,INFY,SELL,82,1968.65,161429.3
2025-11-22,ALPHA_SEC,CL362057,HDFC,BUY,185,1391.06,257346.1
2025-11-24,DELTA_TRADES,CL049699,INFY,SELL,275,312.31,85885.25
2025-11-21,BETA_INVEST,CL763007,SBIN,SELL,137,960.78,131626.86
2025-11-25,OMEGA_BROKING,CL009203,ITC,SELL,77,807.11,62147.47
2025-11-23,OMEGA_BROKING,CL076961,INFY,BUY,212,373.23,79124.76
2025-11-20,ALPHA_SEC,CL699520,RELIANCE,SELL,157,2143.09,336465.13
2025-11-22,DELTA_TRADES,CL690055,RELIANCE,SELL,64,2291.1,146630.4
2025-11-22,BETA_INVEST,CL086122,SBIN,SELL,121,995.92,120506.32
2025-11-22,OMEGA_BROKING,CL252065,RELIANCE,SELL,27,389.79,10524.33
2025-11-22,BETA_INVEST,CL915261,HDFC,BUY,237,2367.97,561208.89
2025-11-24,OMEGA_BROKING,CL943694,KOTAKBANK,BUY,152,2071.32,314840.64
2025-11-22,OMEGA_BROKING,CL929061,ICICIBANK,BUY,162,1277.67,206982.54
2025-11-25,ALPHA_SEC,CL710655,AXISBANK,SELL,274,1233.58,338000.92
2025-11-22,DELTA_TRADES,CL427472,TATAMOTORS,SELL,123,1713.78,210794.94
2025-11-21,OMEGA_BROKING,CL128019,KOTAKBANK,BUY,59,867.98,51210.82
2025-11-23,DELTA_TRADES,CL578857,HDFC,BUY,260,693.03,180187.8
2025-11-21,OMEGA_BROKING,CL743321,ICICIBANK,SELL,109,802.27,87447.43
2025-11-21,OMEGA_BROKING,CL436457,KOTAKBANK,BUY,111,1556.72,172795.92
2025-11-23,DELTA_TRADES,CL720663,RELIANCE,BUY,40,268.6,10744.0
2025-11-26,ALPHA_SEC,CL783827,ITC,SELL,83,651.27,54055.41
2025-11-24,OMEGA_BROKING,CL610415,INFY,BUY,64,1114.29,71314.56
2025-11-20,ALPHA_SEC,CL739673,SBIN,SELL,158,1794.09,283466.22
2025-11-23,ALPHA_SEC,CL088030,SBIN,BUY,187,1103.74,206399.38
2025-11-21,BETA_INVEST,CL588382,ICICIBANK,BUY,176,355.58,62582.08
2025-11-22,DELTA_TRADES,CL917273,LT,SELL,58,2253.41,130697.78
2025-11-24,DELTA_TRADES,CL596865,LT,SELL,43,2447.31,105234.33
2025-11-20,ALPHA_SEC,CL946475,SBIN,BUY,189,1828.21,345531.69
2025-11-20,DELTA_TRADES,CL413573,INFY,SELL,289,1370.07,395950.23
2025-11-24,BETA_INVEST,CL441519,RELIANCE,SELL,67,1759.47,117884.49
2025-11-25,BETA_INVEST,CL985027,ICICIBANK,BUY,250,1916.29,479072.5
2025-11-20,BETA_INVEST,CL804393,KOTAKBANK,SELL,141,2280.86,321601.26
2025-11-24,ALPHA_SEC,CL201650,AXISBANK,SELL,248,2274.57,564093.36
2025-11-24,OMEGA_BROKING,CL488365,ICICIBANK,BUY,258,583.35,150504.3
2025-11-22,ALPHA_SEC,CL675988,TATAMOTORS,BUY,278,1079.78,300178.84
2025-11-24,OMEGA_BROKING,CL243198,HDFC,BUY,56,818.72,45848.32
2025-11-21,ALPHA_SEC,CL451511,ITC,BUY,97,2059.39,199760.83
2025-11-20,DELTA_TRADES,CL321147,SBIN,BUY,106,1524.38,161584.28
2025-11-23,ALPHA_SEC,CL695416,ICICIBANK,BUY,225,459.88,103473.0
2025-11-20,BETA_INVEST,CL221601,KOTAKBANK,SELL,31,1408.28,43656.68
2025-11-22,BETA_INVEST,CL976227,AXISBANK,SELL,182,1919.28,349308.96
2025-11-26,BETA_INVEST,CL189136,KOTAKBANK,BUY,134,523.91,70203.94
2025-11-20,DELTA_TRADES,CL246417,RELIANCE,BUY,224,1346.74,301669.76
2025-11-26,ALPHA_SEC,CL746231,ICICIBANK,BUY,56,209.99,11759.44
2025-11-20,ALPHA_SEC,CL784911,AXISBANK,BUY,270,1974.26,533050.2
2025-11-25,DELTA_TRADES,CL283840,ITC,SELL,8,2425.17,19401.36
2025-11-22,ALPHA_SEC,CL123303,ITC,BUY,19,210.16,3993.04
2025-11-26,ALPHA_SEC,CL064907,RELIANCE,BUY,197,1756.67,346063.99
2025-11-26,DELTA_TRADES,CL972167,TATAMOTORS,BUY,148,1552.91,229830.68
2025-11-26,OMEGA_BROKING,CL610808,KOTAKBANK,SELL,71,1911.96,135749.16
2025-11-22,BETA_INVEST,CL617348,ITC,SELL,260,2096.65,545129.0
2025-11-22,BETA_INVEST,CL675374,RELIANCE,BUY,157,238.6,37460.2
2025-11-24,DELTA_TRADES,CL085438,LT,BUY,254,1043.64,265084.56
2025-11-20,DELTA_TRADES,CL325660,INFY,BUY,39,2285.17,89121.63
2025-11-24,DELTA_TRADES,CL962134,TATAMOTORS,SELL,85,462.08,39276.8
2025-11-24,ALPHA_SEC,CL711998,TATAMOTORS,BUY,76,2455.06,186584.56
2025-11-24,ALPHA_SEC,CL601138,KOTAKBANK,BUY,67,449.22,30097.74
2025-11-25,DELTA_TRADES,CL348794,ITC,SELL,83,2170.89,180183.87
2025-11-20,ALPHA_SEC,CL839247,INFY,SELL,173,1409.98,243926.54
2025-11-20,DELTA_TRADES,CL007468,SBIN,BUY,263,1415.24,372208.12
2025-11-26,ALPHA_SEC,CL059568,AXISBANK,BUY,88,1678.61,147717.68
2025-11-21,DELTA_TRADES,CL120995,KOTAKBANK,SELL,104,2161.5,224796.0
2025-11-22,ALPHA_SEC,CL596636,LT,BUY,15,1262.65,18939.75
2025-11-20,DELTA_TRADES,CL254036,HDFC,BUY,128,1312.95,168057.6
2025-11-24,ALPHA_SEC,CL515028,KOTAKBANK,BUY,128,1530.38,195888.64
2025-11-23,BETA_INVEST,CL106599,AXISBANK,SELL,207,1996.02,413176.14
2025-11-26,BETA_INVEST,CL111777,ITC,SELL,37,1646.85,60933.45
2025-11-20,ALPHA_SEC,CL643656,ICICIBANK,BUY,153,1474.31,225569.43
2025-11-22,BETA_INVEST,CL260199,AXISBANK,SELL,132,1826.74,241129.68
2025-11-26,BETA_INVEST,CL949057,INFY,SELL,60,1315.76,78945.6
2025-11-24,BETA_INVEST,CL924018,INFY,BUY,8,1548.28,12386.24
2025-11-23,ALPHA_SEC,CL669715,ICICIBANK,BUY,140,1230.71,172299.4
2025-11-25,DELTA_TRADES,CL880808,ICICIBANK,SELL,58,2042.29,118452.82
2025-11-25,ALPHA_SEC,CL698120,ICICIBANK,SELL,37,2470.24,91398.88
2025-11-26,BETA_INVEST,CL118493,HDFC,SELL,38,1778.14,67569.32
2025-11-21,DELTA_TRADES,CL417496,ITC,SELL,267,966.46,258044.82
2025-11-21,BETA_INVEST,CL680605,RELIANCE,BUY,78,1988.15,155075.7
2025-11-26,DELTA_TRADES,CL973974,RELIANCE,BUY,85,2267.69,192753.65
2025-11-20,OMEGA_BROKING,CL699713,INFY,BUY,137,1437.67,196960.79
2025-11-21,ALPHA_SEC,CL280916,KOTAKBANK,BUY,236,419.05,98895.8
2025-11-23,BETA_INVEST,CL004958,LT,SELL,241,1468.17,353828.97
2025-11-26,BETA_INVEST,CL729733,LT,SELL,136,610.6,83041.6
2025-11-21,ALPHA_SEC,CL770533,LT,BUY,13,255.06,3315.78
2025-11-22,DELTA_TRADES,CL021675,HDFC,SELL,59,901.56,53192.04
2025-11-21,DELTA_TRADES,CL457267,INFY,SELL,197,1291.39,254403.83
2025-11-23,OMEGA_BROKING,CL255137,HDFC,BUY,179,317.02,56746.58
2025-11-20,ALPHA_SEC,CL046278,SBIN,BUY,154,1259.21,193918.34
2025-11-23,DELTA_TRADES,CL220946,SBIN,SELL,273,796.79,217523.67
2025-11-26,BETA_INVEST,CL349141,RELIANCE,SELL,227,1734.08,393636.16
2025-11-20,BETA_INVEST,CL768930,RELIANCE,BUY,246,659.58,162256.68
2025-11-22,BETA_INVEST,CL685374,ICICIBANK,BUY,279,222.88,62183.52
2025-11-21,DELTA_TRADES,CL834453,AXISBANK,SELL,271,1285.97,348497.87
2025-11-21,OMEGA_BROKING,CL220029,AXISBANK,BUY,132,1696.51,223939.32
2025-11-21,BETA_INVEST,CL435430,HDFC,BUY,250,1743.51,435877.5
2025-11-22,ALPHA_SEC,CL238819,KOTAKBANK,BUY,167,1981.28,330873.76
2025-11-21,OMEGA_BROKING,CL836030,HDFC,SELL,51,1248.33,63664.83
2025-11-25,ALPHA_SEC,CL797963,AXISBANK,BUY,255,688.06,175455.3
2025-11-21,BETA_INVEST,CL589184,INFY,BUY,74,1418.96,105003.04
2025-11-22,OMEGA_BROKING,CL271091,ITC,SELL,135,466.2,62937.0
2025-11-22,ALPHA_SEC,CL795217,HDFC,SELL,284,1454.92,413197.28
2025-11-21,OMEGA_BROKING,CL206774,INFY,SELL,62,1667.6,103391.2
2025-11-26,ALPHA_SEC,CL161116,ICICIBANK,SELL,15,1435.99,21539.85
2025-11-20,BETA_INVEST,CL811219,ITC,BUY,44,1030.19,45328.36
2025-11-24,DELTA_TRADES,CL299972,ICICIBANK,BUY,103,1269.84,130793.52
2025-11-20,BETA_INVEST,CL986478,SBIN,SELL,279,2468.25,688641.75
2025-11-24,OMEGA_BROKING,CL750609,ICICIBANK,SELL,63,1969.8,124097.4
2025-11-23,BETA_INVEST,CL507019,TATAMOTORS,SELL,190,786.02,149343.8
2025-11-24,OMEGA_BROKING,CL700361,TATAMOTORS,SELL,2,131.27,262.54
2025-11-23,OMEGA_BROKING,CL625039,KOTAKBANK,BUY,199,1884.12,374939.88
2025-11-25,DELTA_TRADES,CL919920,KOTAKBANK,BUY,159,1137.24,180821.16
2025-11-26,ALPHA_SEC,CL260479,LT,SELL,283,1174.59,332408.97
2025-11-22,ALPHA_SEC,CL514082,RELIANCE,SELL,268,1161.46,311271.28
2025-11-22,BETA_INVEST,CL277328,HDFC,SELL,148,2432.19,359964.12
2025-11-25,BETA_INVEST,CL944105,SBIN,BUY,46,1255.03,57731.38
2025-11-21,OMEGA_BROKING,CL866026,AXISBANK,SELL,189,754.35,142572.15
2025-11-21,ALPHA_SEC,CL361425,LT,BUY,75,497.52,37314.0
2025-11-23,BETA_INVEST,CL403393,HDFC,BUY,163,785.66,128062.58
2025-11-23,BETA_INVEST,CL173125,RELIANCE,SELL,37,1885.38,69759.06
2025-11-24,DELTA_TRADES,CL703921,RELIANCE,BUY,250,937.01,234252.5
2025-11-21,OMEGA_BROKING,CL785372,RELIANCE,SELL,261,454.16,118535.76
2025-11-20,OMEGA_BROKING,CL076893,ITC,BUY,233,551.63,128529.79
2025-11-24,ALPHA_SEC,CL915028,TATAMOTORS,SELL,47,1336.95,62836.65
2025-11-24,ALPHA_SEC,CL261888,INFY,BUY,265,1799.21,476790.65
2025-11-24,ALPHA_SEC,CL309445,AXISBANK,BUY,265,2443.18,647442.7
2025-11-26,OMEGA_BROKING,CL476453,SBIN,BUY,241,1801.02,434045.82
2025-11-25,DELTA_TRADES,CL158349,ICICIBANK,BUY,142,557.57,79174.94
2025-11-25,BETA_INVEST,CL645313,RELIANCE,BUY,76,510.31,38783.56
2025-11-23,BETA_INVEST,CL387249,KOTAKBANK,BUY,223,1508.39,336370.97
2025-11-25,DELTA_TRADES,CL723834,SBIN,BUY,101,1626.39,164265.39
2025-11-21,DELTA_TRADES,CL126300,ITC,SELL,220,2009.84,442164.8
2025-11-22,ALPHA_SEC,CL666770,ICICIBANK,SELL,85,1350.21,114767.85
2025-11-26,DELTA_TRADES,CL288588,TATAMOTORS,SELL,60,1172.97,70378.2
2025-11-23,DELTA_TRADES,CL629395,SBIN,SELL,199,1155.29,229902.71
2025-11-26,OMEGA_BROKING,CL847949,HDFC,BUY,183,434.19,79456.77
2025-11-23,BETA_INVEST,CL097515,INFY,BUY,50,2234.07,111703.5
2025-11-20,BETA_INVEST,CL942676,KOTAKBANK,SELL,299,1956.58,585017.42
2025-11-25,ALPHA_SEC,CL627835,ITC,SELL,225,546.25,122906.25
2025-11-20,DELTA_TRADES,CL377031,RELIANCE,SELL,159,1285.74,204432.66
2025-11-26,DELTA_TRADES,CL250888,HDFC,SELL,66,155.76,10280.16
2025-11-21,OMEGA_BROKING,CL944713,HDFC,BUY,8,517.44,4139.52
2025-11-24,ALPHA_SEC,CL240600,AXISBANK,SELL,40,2137.63,85505.2
2025-11-26,ALPHA_SEC,CL088670,KOTAKBANK,SELL,101,1110.46,112156.46
2025-11-21,ALPHA_SEC,CL466515,ICICIBANK,BUY,20,2494.98,49899.6
2025-11-20,ALPHA_SEC,CL763570,HDFC,SELL,73,1819.44,132819.12
2025-11-22,DELTA_TRADES,CL640209,RELIANCE,BUY,171,2324.55,397498.05
2025-11-21,OMEGA_BROKING,CL707126,HDFC,SELL,131,2059.03,269732.93
2025-11-23,OMEGA_BROKING,CL783253,ICICIBANK,BUY,161,1331.49,214369.89
2025-11-23,BETA_INVEST,CL105272,KOTAKBANK,BUY,148,1607.68,237936.64
2025-11-22,ALPHA_SEC,CL798247,LT,SELL,181,649.46,117552.26
2025-11-26,DELTA_TRADES,CL482891,TATAMOTORS,BUY,11,1947.13,21418.43
2025-11-25,ALPHA_SEC,CL297886,HDFC,BUY,62,1397.44,86641.28
2025-11-26,BETA_INVEST,CL719381,TATAMOTORS,BUY,2,2024.8,4049.6
2025-11-26,ALPHA_SEC,CL992946,LT,SELL,268,2489.42,667164.56
2025-11-25,BETA_INVEST,CL958021,LT,BUY,181,1340.19,242574.39
2025-11-21,BETA_INVEST,CL411764,RELIANCE,SELL,109,970.07,105737.63
2025-11-20,OMEGA_BROKING,CL042505,HDFC,BUY,299,1909.83,571039.17
2025-11-20,BETA_INVEST,CL818180,TATAMOTORS,BUY,200,2172.08,434416.0
2025-11-24,DELTA_TRADES,CL074168,RELIANCE,SELL,238,1048.54,249552.52
2025-11-20,ALPHA_SEC,CL385094,INFY,SELL,51,204.99,10454.49
2025-11-20,OMEGA_BROKING,CL503908,KOTAKBANK,BUY,201,1378.97,277172.97
2025-11-20,OMEGA_BROKING,CL543172,INFY,SELL,160,350.42,56067.2
2025-11-22,ALPHA_SEC,CL100336,SBIN,BUY,27,393.5,10624.5
2025-11-22,DELTA_TRADES,CL455679,AXISBANK,SELL,58,293.55,17025.9
2025-11-20,ALPHA_SEC,CL306398,INFY,SELL,248,1159.58,287575.84
2025-11-20,OMEGA_BROKING,CL650261,LT,SELL,86,2434.51,209367.86
2025-11-25,DELTA_TRADES,CL270177,SBIN,BUY,245,374.57,91769.65
2025-11-21,DELTA_TRADES,CL981452,INFY,SELL,20,1821.26,36425.2
2025-11-25,DELTA_TRADES,CL482289,HDFC,SELL,230,454.99,104647.7
2025-11-21,ALPHA_SEC,CL100138,ICICIBANK,BUY,131,1805.76,236554.56
2025-11-21,OMEGA_BROKING,CL638382,ICICIBANK,SELL,186,1560.42,290238.12
2025-11-22,BETA_INVEST,CL064832,ITC,BUY,59,1627.06,95996.54
2025-11-20,OMEGA_BROKING,CL171150,INFY,BUY,3,621.52,1864.56
2025-11-20,OMEGA_BROKING,CL940364,TATAMOTORS,SELL,294,454.54,133634.76
2025-11-26,BETA_INVEST,CL209135,RELIANCE,BUY,63,625.13,39383.19
2025-11-24,DELTA_TRADES,CL094881,AXISBANK,BUY,3,2338.78,7016.34
2025-11-26,ALPHA_SEC,CL523479,ICICIBANK,BUY,83,615.26,51066.58
2025-11-26,OMEGA_BROKING,CL905698,KOTAKBANK,SELL,263,448.25,117889.75
2025-11-26,ALPHA_SEC,CL227164,RELIANCE,SELL,109,1507.74,164343.66
2025-11-21,BETA_INVEST,CL836860,TATAMOTORS,SELL,68,1965.35,133643.8
2025-11-26,OMEGA_BROKING,CL084391,ITC,BUY,262,665.58,174381.96
2025-11-20,ALPHA_SEC,CL137439,ITC,SELL,298,879.07,261962.86
2025-11-21,BETA_INVEST,CL728034,INFY,BUY,222,336.72,74751.84
2025-11-20,ALPHA_SEC,CL746767,SBIN,SELL,174,885.57,154089.18
2025-11-20,DELTA_TRADES,CL865826,ICICIBANK,BUY,95,450.26,42774.7
2025-11-21,DELTA_TRADES,CL396434,AXISBANK,BUY,300,2389.68,716904.0
2025-11-21,DELTA_TRADES,CL417084,SBIN,SELL,237,1459.64,345934.68
2025-11-21,BETA_INVEST,CL705428,AXISBANK,SELL,139,2249.43,312670.77
2025-11-26,ALPHA_SEC,CL206668,KOTAKBANK,SELL,118,194.27,22923.86
2025-11-26,DELTA_TRADES,CL381976,INFY,SELL,28,2306.36,64578.08
2025-11-20,ALPHA_SEC,CL688220,HDFC,BUY,245,124.51,30504.95
2025-11-25,ALPHA_SEC,CL572889,KOTAKBANK,SELL,242,1700.01,411402.42
2025-11-23,DELTA_TRADES,CL683128,TATAMOTORS,SELL,153,631.23,96578.19
2025-11-23,OMEGA_BROKING,CL306746,TATAMOTORS,SELL,207,1783.45,369174.15
2025-11-22,DELTA_TRADES,CL782385,SBIN,BUY,56,291.21,16307.76
2025-11-23,BETA_INVEST,CL829633,RELIANCE,BUY,208,919.5,191256.0
2025-11-22,OMEGA_BROKING,CL961424,AXISBANK,SELL,160,991.7,158672.0
2025-11-23,BETA_INVEST,CL577229,RELIANCE,BUY,282,1531.21,431801.22
2025-11-21,DELTA_TRADES,CL438856,KOTAKBANK,BUY,283,646.67,183007.61
2025-11-20,OMEGA_BROKING,CL069823,KOTAKBANK,SELL,156,968.8,151132.8
2025-11-23,BETA_INVEST,CL675410,INFY,SELL,155,445.66,69077.3
2025-11-23,OMEGA_BROKING,CL008430,RELIANCE,BUY,64,2466.79,157874.56
2025-11-21,ALPHA_SEC,CL736864,ICICIBANK,SELL,159,609.82,96961.38
2025-11-25,ALPHA_SEC,CL414663,INFY,BUY,160,759.64,121542.4
2025-11-24,DELTA_TRADES,CL711710,RELIANCE,SELL,145,1199.52,173930.4
2025-11-22,BETA_INVEST,CL455494,ICICIBANK,BUY,294,664.31,195307.14
2025-11-22,DELTA_TRADES,CL212755,SBIN,SELL,213,2307.3,491454.9
2025-11-24,OMEGA_BROKING,CL322594,ICICIBANK,BUY,48,1297.78,62293.44
2025-11-21,OMEGA_BROKING,CL364011,LT,SELL,153,2296.95,351433.35
2025-11-24,ALPHA_SEC,CL409003,TATAMOTORS,SELL,169,722.42,122088.98
2025-11-23,ALPHA_SEC,CL961089,AXISBANK,SELL,296,2087.07,617772.72
2025-11-25,DELTA_TRADES,CL566417,HDFC,SELL,43,839.78,36110.54
2025-11-22,DELTA_TRADES,CL689934,SBIN,SELL,275,357.27,98249.25
2025-11-26,DELTA_TRADES,CL830432,RELIANCE,SELL,178,1783.97,317546.66
2025-11-26,OMEGA_BROKING,CL164210,ICICIBANK,SELL,129,705.2,90970.8
2025-11-24,OMEGA_BROKING,CL342786,RELIANCE,BUY,116,1550.28,179832.48
